simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.9727176	-0.79564713	0.521194	1308.1913	52.564474	11.776622	0.14008404	0.70520942
1	3.8945277	-0.085180657	0.19184119	2829.4617	10.927045	1.9834168	-0.39365163	0.11535561
2	4.2620217	0.6847603	1.3204223	372.19962	24.136324	22.027735	0.0062893102	0.23658295
3	5.4586313	0.92615938	2.6038957	5771.5822	29.638915	27.690418	-0.21533004	0.12243956
4	5.0335877	0.065539579	1.1960704	2187.9222	30.391425	28.996589	-0.29828542	-0.2469834
5	2.4494884	0.67171123	3.0420277	7146.6866	17.758259	12.38945	0.1797262	-0.13364073
6	2.2203457	0.25730005	0.61935401	13369.162	119.96638	119.39378	0.083514559	-0.32982722
7	2.0473784	0.34121813	2.3151222	2644.5428	16.812471	10.780921	0.33972125	0.50135576
8	3.5144645	-0.29861814	0.24339957	4494.7223	25.431688	19.850312	0.14165388	0.64510714
9	4.2853075	-0.49214661	0.10554862	12835.182	101.55616	73.345584	0.5308746	-0.41026215
10	3.9518699	1.0055623	2.035929	1288.5986	20.623857	18.111001	-0.06123096	0.38851009
11	1.2317768	0.85497565	0.60765049	8282.3308	37.313616	34.815589	0.17050293	0.28203235
12	0.3291913	0.95800183	0.29204046	3448.4855	46.309749	12.581979	-0.050413555	-0.36257306
13	5.7738615	-1.0564489	2.2522005	21498.433	140.57151	134.26872	-0.37917544	-0.046653444
14	0.12668985	-0.51331751	2.4806629	7599.6628	74.41796	48.427445	0.5120006	0.10342683
15	4.3389348	-1.3110199	0.67783331	5113.1397	30.937854	30.650547	0.56011279	-0.066063557
16	1.0550665	1.0971147	0.39935843	10029.477	39.554569	33.501797	-0.217241	0.12375095
17	2.3650673	-0.8619666	2.1812584	717.30926	54.506061	40.662288	0.085868917	-0.16882678
18	2.7476572	-1.2241757	2.8669594	1329.0568	3.2124932	2.6567653	0.28543241	0.066467231
19	4.0224594	-0.74780504	2.1128965	2928.5237	14.759252	14.555146	0.1873265	-0.0020919441
20	5.6323859	0.4544348	0.96918907	4148.0504	38.696984	23.463622	0.54769989	-0.1998834
21	1.6909189	0.25071427	1.404714	1935.9858	17.015105	13.135779	-0.051169266	0.25003357
22	6.1275014	0.8693476	1.8171581	1002.2209	35.713634	27.064049	-0.73863601	0.34612291
23	0.38610984	-1.2183755	1.0088656	1299.5078	21.405	9.8450376	-0.34643494	0.0099867588
24	0.73376955	0.82771637	0.76811996	27628.215	92.408142	58.446022	0.63621058	-0.19129258
25	2.9234847	-0.61424613	0.54283478	2149.6892	11.745854	11.198016	0.0017543642	0.08101716
26	2.8176988	-1.090854	2.9897552	20206.409	155.09815	146.46805	0.20570616	-0.28415598
27	5.9947987	0.58448203	2.421729	1826.3136	10.016443	9.9867195	-0.14717144	0.72000066
28	3.70423	0.69447503	0.19379682	1431.1591	3.2200151	2.412471	0.17306622	0.037548156
29	4.0087237	-0.13747256	0.6287863	13515.591	81.073721	64.235902	-0.020286747	0.036779467
30	5.0176935	0.81225317	0.92649324	3728.1549	33.636061	23.438001	-0.25478008	0.28827076
31	3.7971859	0.87535684	0.38678959	203.77752	2.0644817	1.6678797	-0.061078237	-0.00031229967
32	4.3887644	-0.89966642	2.20849	6746.1661	70.261357	57.184424	0.060605356	-0.7659714
33	5.5552748	-0.033335504	2.5617974	990.24068	2.3570779	2.1939965	-0.070755765	0.042704928
34	5.237497	0.55988076	1.6699449	999.09229	22.537692	12.83556	-0.13152592	0.062857373
