frequency psd
0.000000000000000000e+00 5.965497744627754233e-44
2.500000000000000000e-01 7.344267296618636150e-44
5.000000000000000000e-01 8.330773917531711987e-44
7.500000000000000000e-01 1.113477029021179486e-43
1.000000000000000000e+00 1.150259967984833903e-43
1.250000000000000000e+00 1.870314375497958678e-43
1.500000000000000000e+00 2.750066540806989114e-43
1.750000000000000000e+00 4.713244214668434735e-43
2.000000000000000000e+00 6.257661748056971324e-43
2.250000000000000000e+00 1.118700621557024675e-42
2.500000000000000000e+00 2.827018033551978190e-42
2.750000000000000000e+00 8.283424856432396017e-42
3.000000000000000000e+00 2.901351131160944443e-41
3.250000000000000000e+00 1.442803254801418084e-40
3.500000000000000000e+00 1.101581714769807367e-39
3.750000000000000000e+00 4.344075391099898744e-39
4.000000000000000000e+00 9.896622076642549451e-39
4.250000000000000000e+00 3.838648879138070382e-38
4.500000000000000000e+00 1.089959370086671995e-37
4.750000000000000000e+00 2.719025605265360957e-37
5.000000000000000000e+00 4.604080274436121013e-37
5.250000000000000000e+00 7.740307931048391411e-37
5.500000000000000000e+00 1.103121423164706525e-36
5.750000000000000000e+00 1.170490660244350233e-36
6.000000000000000000e+00 8.504016416356925420e-37
6.250000000000000000e+00 5.211280832744794539e-37
6.500000000000000000e+00 1.967629784762949830e-37
6.750000000000000000e+00 7.784478159635982949e-38
7.000000000000000000e+00 3.196745229223205128e-38
7.250000000000000000e+00 1.269641287629899500e-38
7.500000000000000000e+00 4.897973656516169164e-39
7.750000000000000000e+00 2.291337714382243620e-39
8.000000000000000000e+00 1.160206361160319422e-39
8.250000000000000000e+00 7.361962541179244580e-40
8.500000000000000000e+00 4.765113678385309465e-40
8.750000000000000000e+00 3.387528935575264504e-40
9.000000000000000000e+00 2.730144901570543362e-40
9.250000000000000000e+00 3.491997262219174046e-40
9.500000000000000000e+00 6.051290784196508808e-40
9.750000000000000000e+00 3.438859652095358621e-39
1.000000000000000000e+01 5.477087910251417014e-40
1.025000000000000000e+01 1.038078041588096426e-40
1.050000000000000000e+01 2.432081097170104640e-41
1.075000000000000000e+01 1.141438123608510072e-41
1.100000000000000000e+01 7.933782133713959164e-42
1.125000000000000000e+01 5.999759224618633733e-42
1.150000000000000000e+01 3.752927931965584904e-42
1.175000000000000000e+01 4.424521399769028705e-42
1.200000000000000000e+01 3.974715889611518272e-42
1.225000000000000000e+01 3.149456780938181440e-42
1.250000000000000000e+01 2.067289554183011644e-42
1.275000000000000000e+01 2.434344292429107793e-42
1.300000000000000000e+01 1.697560275052860219e-42
1.325000000000000000e+01 1.464815916872362092e-42
1.350000000000000000e+01 1.845918346582549197e-42
1.375000000000000000e+01 1.659595875929774810e-41
1.400000000000000000e+01 1.777187858408518409e-41
1.425000000000000000e+01 2.275194652418227533e-42
1.450000000000000000e+01 1.377674368219981833e-42
1.475000000000000000e+01 1.057083057314533443e-42
1.500000000000000000e+01 7.614038430790436728e-43
1.525000000000000000e+01 6.951042026566842916e-43
1.550000000000000000e+01 5.637700473202752651e-43
1.575000000000000000e+01 8.360129112098510363e-43
1.600000000000000000e+01 6.407277048683707405e-43
1.625000000000000000e+01 4.576183258970138862e-43
1.650000000000000000e+01 3.404621421492576126e-43
1.675000000000000000e+01 2.216183799736579282e-43
1.700000000000000000e+01 1.889950477326749907e-43
1.725000000000000000e+01 1.899614574364696128e-43
1.750000000000000000e+01 2.139886090812851022e-43
1.775000000000000000e+01 3.013867731873529261e-43
1.800000000000000000e+01 1.646086223799295149e-43
1.825000000000000000e+01 1.339213247276489019e-43
1.850000000000000000e+01 1.009140528783933039e-43
1.875000000000000000e+01 8.273415679869244911e-44
1.900000000000000000e+01 7.740251400399991872e-44
1.925000000000000000e+01 6.718716032674516905e-44
1.950000000000000000e+01 5.941548167536054180e-44
1.975000000000000000e+01 5.625164518208408221e-44
2.000000000000000000e+01 5.173806033487326254e-44
2.025000000000000000e+01 5.028282189781021209e-44
2.050000000000000000e+01 3.698732821072514335e-44
2.075000000000000000e+01 2.986767670056113886e-44
2.100000000000000000e+01 2.623690623884036218e-44
2.125000000000000000e+01 2.290962298565467184e-44
2.150000000000000000e+01 2.185496631338352971e-44
2.175000000000000000e+01 2.074015655621723095e-44
2.200000000000000000e+01 1.591397137979289273e-44
2.225000000000000000e+01 1.324225387111189025e-44
2.250000000000000000e+01 1.166857752871461664e-44
2.275000000000000000e+01 1.078276336642238034e-44
2.300000000000000000e+01 1.047113495816990432e-44
2.325000000000000000e+01 1.087232336463194095e-44
2.350000000000000000e+01 1.090127621765290004e-44
2.375000000000000000e+01 1.205974901305661681e-44
2.400000000000000000e+01 1.154730863412600826e-44
2.425000000000000000e+01 9.981934903855734421e-45
2.450000000000000000e+01 8.861119911030368332e-45
2.475000000000000000e+01 7.983736086606862356e-45
2.500000000000000000e+01 7.384284724125256981e-45
2.525000000000000000e+01 9.204915480378482099e-45
2.550000000000000000e+01 6.103594125321481576e-45
2.575000000000000000e+01 5.192354885269150786e-45
2.600000000000000000e+01 4.807702900115280176e-45
2.625000000000000000e+01 4.712112231030807405e-45
2.650000000000000000e+01 4.761358736545235710e-45
2.675000000000000000e+01 5.270392737864305945e-45
2.700000000000000000e+01 6.537535574117341552e-45
2.725000000000000000e+01 6.006043157076233381e-45
2.750000000000000000e+01 5.077319248929404081e-45
2.775000000000000000e+01 3.525968793966910631e-45
2.800000000000000000e+01 3.256736174155700679e-45
2.825000000000000000e+01 3.605769417604927141e-45
2.850000000000000000e+01 2.537171042289490952e-45
2.875000000000000000e+01 2.218388213897966265e-45
2.900000000000000000e+01 1.993121872364304928e-45
2.925000000000000000e+01 1.804654570908042747e-45
2.950000000000000000e+01 1.918891734759657107e-45
2.975000000000000000e+01 1.888734394471733696e-45
3.000000000000000000e+01 2.329743232098586222e-45
3.025000000000000000e+01 1.207827045270021805e-45
3.050000000000000000e+01 1.081976546767167145e-45
3.075000000000000000e+01 9.878351629424119845e-46
3.100000000000000000e+01 9.113418644563715485e-46
3.125000000000000000e+01 8.526378960561886332e-46
3.150000000000000000e+01 8.235685199376383126e-46
3.175000000000000000e+01 8.590939787952669591e-46
3.200000000000000000e+01 9.394028803161201958e-46
3.225000000000000000e+01 1.184460731629455211e-45
3.250000000000000000e+01 1.068876131502931003e-45
3.275000000000000000e+01 8.132705180936405439e-46
3.300000000000000000e+01 6.914850224670374588e-46
3.325000000000000000e+01 6.580750220227501775e-46
3.350000000000000000e+01 6.078844665685111563e-46
3.375000000000000000e+01 5.569636979913258052e-46
3.400000000000000000e+01 5.150376850140898295e-46
3.425000000000000000e+01 4.764037416691196582e-46
3.450000000000000000e+01 4.522478954319827018e-46
3.475000000000000000e+01 4.409740050405897266e-46
3.500000000000000000e+01 4.581523917006955159e-46
3.525000000000000000e+01 5.552931696286830950e-46
3.550000000000000000e+01 7.728045843006210685e-46
3.575000000000000000e+01 4.275506698534541691e-46
3.600000000000000000e+01 3.636719596464502050e-46
3.625000000000000000e+01 3.340298512701603132e-46
3.650000000000000000e+01 3.149733100172919459e-46
3.675000000000000000e+01 2.991779777168269987e-46
3.700000000000000000e+01 2.854733981773719388e-46
3.725000000000000000e+01 2.775699000854201773e-46
3.750000000000000000e+01 2.746416210682215424e-46
3.775000000000000000e+01 2.671163012629182224e-46
3.800000000000000000e+01 2.581324814666816333e-46
3.825000000000000000e+01 2.508603774066726179e-46
3.850000000000000000e+01 2.494302999383412929e-46
3.875000000000000000e+01 2.470030491237888928e-46
3.900000000000000000e+01 2.459570537389194312e-46
3.925000000000000000e+01 2.506638193810322524e-46
3.950000000000000000e+01 2.473781850543277032e-46
