frequency psd
0.000000000000000000e+00 2.540003047341510816e-43
2.500000000000000000e-01 3.395617740485196221e-43
5.000000000000000000e-01 3.717673298604399192e-43
7.500000000000000000e-01 4.841310994368673900e-43
1.000000000000000000e+00 5.617228975924193876e-43
1.250000000000000000e+00 9.304925237827719292e-43
1.500000000000000000e+00 1.439627733842351951e-42
1.750000000000000000e+00 1.980424503594695991e-42
2.000000000000000000e+00 3.127724781493008730e-42
2.250000000000000000e+00 8.481330991519397519e-42
2.500000000000000000e+00 3.047485868595497064e-41
2.750000000000000000e+00 6.102564116052299963e-41
3.000000000000000000e+00 2.395767856261474050e-40
3.250000000000000000e+00 4.489022921191926645e-39
3.500000000000000000e+00 8.275961890065824797e-39
3.750000000000000000e+00 1.231965800127095012e-38
4.000000000000000000e+00 4.820071766130022382e-38
4.250000000000000000e+00 1.746243526094956979e-37
4.500000000000000000e+00 4.193656754726100136e-37
4.750000000000000000e+00 9.029109689264196905e-37
5.000000000000000000e+00 1.997048929938906282e-36
5.250000000000000000e+00 4.068124605685409213e-36
5.500000000000000000e+00 6.792688713877771246e-36
5.750000000000000000e+00 7.403889450725301321e-36
6.000000000000000000e+00 5.712716430098399798e-36
6.250000000000000000e+00 3.322992441256068938e-36
6.500000000000000000e+00 1.527500413763242004e-36
6.750000000000000000e+00 7.454600617872663761e-37
7.000000000000000000e+00 2.505183430725608441e-37
7.250000000000000000e+00 7.595451735569711458e-38
7.500000000000000000e+00 2.615773035498332917e-38
7.750000000000000000e+00 1.074828793398033069e-38
8.000000000000000000e+00 4.796377679437186491e-39
8.250000000000000000e+00 2.524233455094425185e-39
8.500000000000000000e+00 1.452455757030366622e-39
8.750000000000000000e+00 9.984953323674482058e-40
9.000000000000000000e+00 5.808944789941294496e-40
9.250000000000000000e+00 3.246290457205006866e-40
9.500000000000000000e+00 7.419542204133823170e-40
9.750000000000000000e+00 1.047020532780060219e-39
1.000000000000000000e+01 5.719490149508542382e-41
1.025000000000000000e+01 3.404173146479123701e-41
1.050000000000000000e+01 2.009191807960380903e-41
1.075000000000000000e+01 9.770453853743858341e-42
1.100000000000000000e+01 6.119666735160171590e-42
1.125000000000000000e+01 4.215839681255846954e-42
1.150000000000000000e+01 2.950849568165990420e-42
1.175000000000000000e+01 2.109100859073479915e-42
1.200000000000000000e+01 1.496246545380454033e-42
1.225000000000000000e+01 1.061580536609221808e-42
1.250000000000000000e+01 7.969979569712233159e-43
1.275000000000000000e+01 5.994286953267067694e-43
1.300000000000000000e+01 4.659487969663192918e-43
1.325000000000000000e+01 7.862323455446947724e-43
1.350000000000000000e+01 3.526884574999140997e-42
1.375000000000000000e+01 1.218507710137327208e-41
1.400000000000000000e+01 1.474440628370295192e-42
1.425000000000000000e+01 5.044911944916978408e-43
1.450000000000000000e+01 2.278049078938452914e-43
1.475000000000000000e+01 1.028803390247419101e-43
1.500000000000000000e+01 8.436492673646050811e-44
1.525000000000000000e+01 7.417414596517118335e-44
1.550000000000000000e+01 6.524200275739639140e-44
1.575000000000000000e+01 6.833223513956634385e-44
1.600000000000000000e+01 7.247962068953534531e-44
1.625000000000000000e+01 1.029267306715554951e-43
1.650000000000000000e+01 1.620489798532796166e-43
1.675000000000000000e+01 8.763414212820842356e-44
1.700000000000000000e+01 5.654320596054172920e-44
1.725000000000000000e+01 8.456486791402392211e-44
1.750000000000000000e+01 4.655520991387257576e-44
1.775000000000000000e+01 2.269834700186412716e-44
1.800000000000000000e+01 1.341246512952968955e-44
1.825000000000000000e+01 1.033258920867831907e-44
1.850000000000000000e+01 9.570078515210891807e-45
1.875000000000000000e+01 5.930632076737989013e-45
1.900000000000000000e+01 5.746656248552752489e-45
1.925000000000000000e+01 3.949271527524669196e-45
1.950000000000000000e+01 3.964201473941227673e-45
1.975000000000000000e+01 4.045801106962319735e-45
2.000000000000000000e+01 2.799242064465479496e-45
2.025000000000000000e+01 5.651924558571595123e-45
2.050000000000000000e+01 2.506882192405407940e-45
2.075000000000000000e+01 1.701212383611127907e-45
2.100000000000000000e+01 1.399333533944530828e-45
2.125000000000000000e+01 1.255274466519677233e-45
2.150000000000000000e+01 1.177619433145505900e-45
2.175000000000000000e+01 1.086629436728406184e-45
2.200000000000000000e+01 9.855331692444075603e-46
2.225000000000000000e+01 9.059087588866579170e-46
2.250000000000000000e+01 8.520011886663150203e-46
2.275000000000000000e+01 7.829727539553394385e-46
2.300000000000000000e+01 7.092969725699326536e-46
2.325000000000000000e+01 6.526316681109526146e-46
2.350000000000000000e+01 6.196339375081427133e-46
2.375000000000000000e+01 6.015213735103883157e-46
2.400000000000000000e+01 5.616675511287063138e-46
2.425000000000000000e+01 4.889843002882400308e-46
2.450000000000000000e+01 5.688258877862441264e-46
2.475000000000000000e+01 5.439299566141714644e-46
2.500000000000000000e+01 4.627806564892675851e-46
2.525000000000000000e+01 4.468571315695811284e-46
2.550000000000000000e+01 4.648205779070543248e-46
2.575000000000000000e+01 3.767862417287777384e-46
2.600000000000000000e+01 3.330315603340536301e-46
2.625000000000000000e+01 3.052081030001734120e-46
2.650000000000000000e+01 2.973911806032531309e-46
2.675000000000000000e+01 3.036410374849709274e-46
2.700000000000000000e+01 3.371600435348612777e-46
2.725000000000000000e+01 4.943226823741209728e-46
2.750000000000000000e+01 1.507826256151985572e-45
2.775000000000000000e+01 5.782445604445334838e-46
2.800000000000000000e+01 4.109189686075254548e-46
2.825000000000000000e+01 2.734966369421836780e-46
2.850000000000000000e+01 2.875360034285398739e-46
2.875000000000000000e+01 2.352255960983400602e-46
2.900000000000000000e+01 2.179933183169833525e-46
2.925000000000000000e+01 2.080972033694731998e-46
2.950000000000000000e+01 1.993348936798233684e-46
2.975000000000000000e+01 1.873160288416371780e-46
3.000000000000000000e+01 1.723365939830938874e-46
3.025000000000000000e+01 1.590286591490069133e-46
3.050000000000000000e+01 1.519098968148242055e-46
3.075000000000000000e+01 1.447617574369591253e-46
3.100000000000000000e+01 1.370140726828560293e-46
3.125000000000000000e+01 1.304526749097082182e-46
3.150000000000000000e+01 1.287730046567101697e-46
3.175000000000000000e+01 1.247451116167567638e-46
3.200000000000000000e+01 1.187049944512692726e-46
3.225000000000000000e+01 1.150196336108758736e-46
3.250000000000000000e+01 1.122770079028037712e-46
3.275000000000000000e+01 1.107004834463358681e-46
3.300000000000000000e+01 1.068358042576175875e-46
3.325000000000000000e+01 1.062038402472293881e-46
3.350000000000000000e+01 1.062155395270288121e-46
3.375000000000000000e+01 1.012264464937453259e-46
3.400000000000000000e+01 9.508265192313888785e-47
3.425000000000000000e+01 9.076911884849499969e-47
3.450000000000000000e+01 8.998552866755201851e-47
3.475000000000000000e+01 8.854525643296939993e-47
3.500000000000000000e+01 8.658283163656968428e-47
3.525000000000000000e+01 8.492340515140637021e-47
3.550000000000000000e+01 8.546656648142731485e-47
3.575000000000000000e+01 9.447097947225777424e-47
3.600000000000000000e+01 8.025080639390020972e-47
3.625000000000000000e+01 7.828598752532963042e-47
3.650000000000000000e+01 7.745941584940870365e-47
3.675000000000000000e+01 7.541139834480607349e-47
3.700000000000000000e+01 7.330364221558779385e-47
3.725000000000000000e+01 7.179968376218674170e-47
3.750000000000000000e+01 7.092927757680994832e-47
3.775000000000000000e+01 7.086805095486956214e-47
3.800000000000000000e+01 6.969524153840083672e-47
3.825000000000000000e+01 6.656910948768089483e-47
3.850000000000000000e+01 6.620165703034989271e-47
3.875000000000000000e+01 6.501704342168680898e-47
3.900000000000000000e+01 6.386258985742973805e-47
3.925000000000000000e+01 6.283248118232584354e-47
3.950000000000000000e+01 6.195120450067562031e-47
3.975000000000000000e+01 6.125309509781141235e-47
4.000000000000000000e+01 6.073911755720411806e-47
4.025000000000000000e+01 6.030415450043091264e-47
4.050000000000000000e+01 6.300482391198549192e-47
4.075000000000000000e+01 1.257656969050049846e-46
4.100000000000000000e+01 1.311093502805063751e-46
4.125000000000000000e+01 6.069283852790456511e-47
4.150000000000000000e+01 5.976532679972167827e-47
4.175000000000000000e+01 5.892923731765683157e-47
4.200000000000000000e+01 5.821353444606084370e-47
4.225000000000000000e+01 5.763293916187665211e-47
4.250000000000000000e+01 5.715461950000104125e-47
4.275000000000000000e+01 5.666688036723873238e-47
4.300000000000000000e+01 5.472044741049023644e-47
4.325000000000000000e+01 5.402585945696061145e-47
4.350000000000000000e+01 5.436165980140039588e-47
4.375000000000000000e+01 5.267823920514773954e-47
4.400000000000000000e+01 5.141523413051461038e-47
4.425000000000000000e+01 5.099416243105528082e-47
4.450000000000000000e+01 5.569880737250600670e-47
4.475000000000000000e+01 5.464985368369544345e-47
4.500000000000000000e+01 5.479384027107153094e-47
4.525000000000000000e+01 7.522542515855621961e-47
4.550000000000000000e+01 5.123072922453598300e-47
4.575000000000000000e+01 5.000629032606689609e-47
4.600000000000000000e+01 4.693691745101293118e-47
4.625000000000000000e+01 4.605573182065312303e-47
4.650000000000000000e+01 4.553681161445045878e-47
4.675000000000000000e+01 4.579028294041308112e-47
4.700000000000000000e+01 4.493830648219200066e-47
4.725000000000000000e+01 4.487642470727480169e-47
4.750000000000000000e+01 4.503922484367264675e-47
4.775000000000000000e+01 4.474753025703585390e-47
4.800000000000000000e+01 4.419268915199068466e-47
4.825000000000000000e+01 4.352609495960815337e-47
4.850000000000000000e+01 4.290144384080681523e-47
4.875000000000000000e+01 4.258601693909929053e-47
4.900000000000000000e+01 4.203717708513983333e-47
4.925000000000000000e+01 4.167807405559500665e-47
4.950000000000000000e+01 4.160339360701994008e-47
4.975000000000000000e+01 4.116376625006865998e-47
5.000000000000000000e+01 4.035944986527575131e-47
5.025000000000000000e+01 4.007411420731259171e-47
5.050000000000000000e+01 3.975451392642981658e-47
5.075000000000000000e+01 3.972767630877203723e-47
5.100000000000000000e+01 3.964427747517138145e-47
5.125000000000000000e+01 3.893032408475800087e-47
5.150000000000000000e+01 3.894985653985990070e-47
5.175000000000000000e+01 3.850390008322757787e-47
5.200000000000000000e+01 3.847551537033098352e-47
5.225000000000000000e+01 3.798634936926523933e-47
5.250000000000000000e+01 3.805244641191197886e-47
5.275000000000000000e+01 3.787054893394764562e-47
5.300000000000000000e+01 3.799720766875448970e-47
5.325000000000000000e+01 3.753169742232792371e-47
5.350000000000000000e+01 3.709345440628700144e-47
5.375000000000000000e+01 3.677429599268028641e-47
5.400000000000000000e+01 3.640808421527479208e-47
5.425000000000000000e+01 3.668377838929228850e-47
5.450000000000000000e+01 3.589307444117038906e-47
5.475000000000000000e+01 3.602315570762553454e-47
5.500000000000000000e+01 3.622685168708528368e-47
5.525000000000000000e+01 3.576838932099395045e-47
5.550000000000000000e+01 3.521500691459701318e-47
5.575000000000000000e+01 3.505395357354044831e-47
5.600000000000000000e+01 3.469369375512517644e-47
5.625000000000000000e+01 3.467084174215097245e-47
5.650000000000000000e+01 3.648734162344613757e-47
5.675000000000000000e+01 3.689944878235075353e-47
5.700000000000000000e+01 3.516879557583613205e-47
5.725000000000000000e+01 3.628266841721988114e-47
5.750000000000000000e+01 3.733682745783628324e-47
5.775000000000000000e+01 3.553068946206248389e-47
5.800000000000000000e+01 3.499282352371334190e-47
5.825000000000000000e+01 3.476149402883687431e-47
5.850000000000000000e+01 3.485660674540402583e-47
5.875000000000000000e+01 3.805257637782045629e-47
5.900000000000000000e+01 4.092043247296818385e-47
5.925000000000000000e+01 1.014309567345270304e-46
5.950000000000000000e+01 4.881127707149982623e-46
5.975000000000000000e+01 1.301276967001549140e-45
6.000000000000000000e+01 1.522263530112914141e-44
6.025000000000000000e+01 1.410645137542568895e-45
6.050000000000000000e+01 4.924432094686704035e-46
6.075000000000000000e+01 9.270210475132778367e-47
6.100000000000000000e+01 3.823453120119605816e-47
6.125000000000000000e+01 3.528934969762461232e-47
6.150000000000000000e+01 3.199784338221667737e-47
6.175000000000000000e+01 3.166583824732455325e-47
6.200000000000000000e+01 3.160021450780622309e-47
6.225000000000000000e+01 3.203963797072006449e-47
6.250000000000000000e+01 3.305981506888879898e-47
6.275000000000000000e+01 3.240582435486273856e-47
6.300000000000000000e+01 3.137965828735119094e-47
6.325000000000000000e+01 3.212603392176185131e-47
6.350000000000000000e+01 3.177654370786396927e-47
6.375000000000000000e+01 3.005744829932966876e-47
6.400000000000000000e+01 2.926530063648705447e-47
6.425000000000000000e+01 2.929352878670922426e-47
6.450000000000000000e+01 2.857045578500736840e-47
6.475000000000000000e+01 2.857427590069570736e-47
6.500000000000000000e+01 2.828736648780597389e-47
6.525000000000000000e+01 2.810281637235107917e-47
6.550000000000000000e+01 2.772590517523714140e-47
6.575000000000000000e+01 2.779527346892914270e-47
6.600000000000000000e+01 2.734133566895246573e-47
6.625000000000000000e+01 2.727662074228701672e-47
6.650000000000000000e+01 2.706534417253870900e-47
6.675000000000000000e+01 2.688447172676777050e-47
6.700000000000000000e+01 2.671911400502083152e-47
6.725000000000000000e+01 2.630688290306986142e-47
6.750000000000000000e+01 2.607696294331861029e-47
6.775000000000000000e+01 2.597279319893244264e-47
6.800000000000000000e+01 2.596798147605723066e-47
6.825000000000000000e+01 2.567356547863390429e-47
6.850000000000000000e+01 2.566413229046345427e-47
6.875000000000000000e+01 2.564428299272490034e-47
6.900000000000000000e+01 2.549357415347593106e-47
6.925000000000000000e+01 2.564102425147016356e-47
6.950000000000000000e+01 2.552509557850824297e-47
6.975000000000000000e+01 2.573226708299754185e-47
7.000000000000000000e+01 2.591349393999215353e-47
7.025000000000000000e+01 2.580255116927300534e-47
7.050000000000000000e+01 2.573562298428716317e-47
7.075000000000000000e+01 2.596534326299677264e-47
7.100000000000000000e+01 2.556862759959413125e-47
7.125000000000000000e+01 2.538476980296033210e-47
7.150000000000000000e+01 2.527484749042009871e-47
7.175000000000000000e+01 2.517909245027761255e-47
7.200000000000000000e+01 2.474295986700136971e-47
7.225000000000000000e+01 2.447793391535716527e-47
7.250000000000000000e+01 2.429832650234204773e-47
7.275000000000000000e+01 2.416827924115177925e-47
7.300000000000000000e+01 2.386829511761760705e-47
7.325000000000000000e+01 2.401720992601508004e-47
7.350000000000000000e+01 2.374020041818593164e-47
7.375000000000000000e+01 2.365912024381966608e-47
7.400000000000000000e+01 2.366534179611996372e-47
7.425000000000000000e+01 2.342179267540876623e-47
7.450000000000000000e+01 2.342422744665685214e-47
7.475000000000000000e+01 2.335336919947518122e-47
7.500000000000000000e+01 2.329870332094485213e-47
7.525000000000000000e+01 2.325454757830386416e-47
7.550000000000000000e+01 2.326531647301007613e-47
7.575000000000000000e+01 2.327220364492797669e-47
7.600000000000000000e+01 2.287230513541640067e-47
7.625000000000000000e+01 2.294346743876079805e-47
7.650000000000000000e+01 2.294084910143702547e-47
7.675000000000000000e+01 2.303770694496023406e-47
7.700000000000000000e+01 2.292650933497906483e-47
7.725000000000000000e+01 2.289517024926175575e-47
7.750000000000000000e+01 2.318735308256780117e-47
7.775000000000000000e+01 2.280983564643359840e-47
7.800000000000000000e+01 2.274462791484897728e-47
7.825000000000000000e+01 2.291460776073357634e-47
7.850000000000000000e+01 2.255307607674590214e-47
7.875000000000000000e+01 2.233796810705332959e-47
7.900000000000000000e+01 2.212471717614441050e-47
7.925000000000000000e+01 2.198874556322349101e-47
