simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.6661491	-0.91702632	2.6390425	475.54162	1.6035407	1.4825781	0.020037754	-8.1569522e-05
1	5.9971485	0.2547955	2.310982	171.82501	1.358987	1.3363608	-0.032369985	0.0092811933
2	3.6229343	0.58563957	2.6432339	136.76629	1.3955519	1.2669031	-0.01787775	0.045417526
3	0.51457126	-1.0153521	2.9566765	324.85696	1.4436703	1.4351684	-0.04684289	-0.019847606
4	5.9830292	0.95627987	0.48259436	286.34435	1.4254186	1.3979231	-0.031859985	-0.020428527
5	0.065679705	-1.0887234	0.63835012	194.34551	1.4984793	1.3784205	-0.031622022	0.024470997
6	2.7040567	-0.39850663	1.079266	106.31284	1.4571426	1.4261225	-0.032699733	-0.039143603
7	0.066162298	-1.2565751	0.50810262	300.75207	1.4712232	1.3354952	0.001606308	0.0063830181
8	0.37307845	-0.43503502	2.8834601	92.064951	1.4818763	1.2382165	0.017182337	-0.010662998
9	5.0874881	1.0580646	0.032352303	108.07353	1.4274235	1.3303476	0.046344136	-0.0074072967
10	3.9745839	0.49656095	0.2298142	119.31141	1.4919031	1.3790602	-0.049167928	-0.041087051
11	2.0193849	0.056592924	1.9161266	119.67165	1.3513995	1.3401503	0.016606715	-0.024101329
12	2.0425071	1.4369196	2.6032899	31.957308	1.4382164	1.425025	0.027224441	0.025417385
13	1.2936349	0.20900274	0.85637728	167.02659	1.3848495	1.1998395	0.005792924	-0.037343325
14	0.65005231	-0.50868992	0.72564183	114.38147	1.4376555	1.3874112	0.040865187	0.00052314086
15	2.8979198	-0.817129	0.50603784	235.30579	1.4425521	1.3200578	-0.025347845	-0.044315815
16	2.259286	-1.1365445	2.7925235	18.417266	1.2776922	1.1962046	-0.0017363536	-0.020508463
17	2.9056879	1.2707842	1.9704058	135.81483	1.4274414	1.371493	0.02349479	0.021762428
18	1.9437619	-0.38450881	2.1107735	462.70178	1.5120039	1.368803	0.043226838	0.048123202
19	1.6032731	0.50571732	2.7325576	236.56723	1.3448019	1.3181338	-0.034278182	-0.015275307
20	5.4293562	0.13417489	0.59296202	279.88357	1.5149178	1.3886649	-0.029069103	-0.011037088
21	3.443184	0.1814024	0.78492779	80.811006	1.3926179	1.2955896	0.03420837	-0.046598169
22	1.83562	0.4586396	0.29204783	333.81447	1.5014677	1.3542651	-0.038574308	0.045115449
23	3.1449831	0.10284024	2.1496501	203.72449	1.4951193	1.3165974	0.025673395	-0.02493766
24	0.76001756	-0.43612031	1.7467004	111.27517	1.4876469	1.3718284	-0.0019098525	0.031091741
25	2.8555272	0.53618581	2.3653622	192.31265	1.569042	1.4273834	-0.046352653	-0.016521003
26	5.7932387	-0.70698433	1.6944828	98.51743	1.2623139	1.2140036	-0.031766502	0.047109065
27	2.5716602	0.88136944	0.44577934	260.49536	1.5767626	1.4371989	-0.023700754	-0.049753957
28	4.3717974	-0.41336165	2.0776688	58.824022	1.3920939	1.2601208	0.047584685	0.0095786906
