simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.6661491	-0.91702632	2.6390425	662.55164	32.663901	1.5312603	-0.26325248	-0.033414903
1	5.9971485	0.2547955	2.310982	240.31459	8.2114324	1.259824	-0.47623237	-0.043481096
2	3.6229343	0.58563957	2.6432339	208.4152	4.9915178	1.2857391	0.96602055	0.012084193
3	2.9578287	-0.54325895	1.7584817	196.42144	7.096009	1.4597979	0.29203369	-0.045883774
4	0.065679705	-1.0887234	0.63835012	286.27183	8.8408636	1.5261774	-0.39547426	0.023933533
5	2.7040567	-0.39850663	1.079266	158.11315	5.6494263	1.5612214	0.012545292	-0.0058102696
6	4.4136631	0.11584202	1.039474	370.59167	8.8481237	1.3168862	0.89889609	0.018591233
7	4.2286047	-0.14170992	2.079091	354.74025	6.1413822	1.3287498	0.56084024	-0.020611533
8	0.066162298	-1.2565751	0.50810262	440.81071	5.5276433	1.5097112	-0.4081951	-0.049172537
9	5.2186876	-0.021674531	3.0421775	740.00818	11.101735	1.5372866	-0.68596232	-0.010110723
10	0.37307845	-0.43503502	2.8834601	124.70655	3.3636386	1.49221	-0.43112736	-0.027262107
11	5.0874881	1.0580646	0.032352303	174.97258	6.0486249	1.4475475	0.73333553	-0.042544753
12	2.6548321	-0.89845856	0.75356339	614.06755	41.258704	1.5642266	0.90525379	0.035474965
13	3.9745839	0.49656095	0.2298142	257.10972	15.943488	1.5538279	0.78647503	0.025579616
14	2.0193849	0.056592924	1.9161266	172.43048	8.5430262	1.2373008	-0.11118705	-0.035212441
15	2.0425071	1.4369196	2.6032899	52.835998	10.391945	1.4316043	0.53904392	-0.041249281
16	1.2936349	0.20900274	0.85637728	241.6706	4.8253395	1.3529228	-0.54530011	0.029323342
17	0.65005231	-0.50868992	0.72564183	161.27152	13.920501	1.4011175	-0.7308693	0.00052314086
18	1.760018	0.42264284	2.0859287	344.17133	8.9081243	1.3180625	0.2642749	0.048149879
19	2.259286	-1.1365445	2.7925235	25.511624	4.0357915	1.1980998	0.1856202	0.035047093
20	2.9056879	1.2707842	1.9704058	220.64788	8.8983138	1.4525331	0.21089608	0.012383679
21	4.3520048	0.8829403	2.9300558	600.00922	6.1216912	1.4388764	-0.002544312	0.022146795
22	1.6032731	0.50571732	2.7325576	327.97738	3.9451523	1.3690267	-0.30245107	0.021277373
23	3.443184	0.1814024	0.78492779	119.78285	5.0436811	1.4653757	0.017325722	0.04229072
24	1.83562	0.4586396	0.29204783	493.67893	5.798027	1.3947302	0.11622869	0.045115449
25	3.1449831	0.10284024	2.1496501	281.40819	4.02228	1.5184135	-0.27376567	-0.01877105
26	4.9490776	1.1256492	0.72923263	547.35362	7.4494021	1.5181709	-0.97734792	0.037002107
27	0.76001756	-0.43612031	1.7467004	156.84989	21.194733	1.5197713	-0.47781508	0.031091741
28	2.8555272	0.53618581	2.3653622	246.99433	25.859795	1.3149079	-0.47778253	-0.027632114
29	5.7932387	-0.70698433	1.6944828	135.7704	3.2304017	1.3907155	-0.82724051	-0.042877613
30	2.5716602	0.88136944	0.44577934	376.58097	25.680297	1.4696052	-0.24927493	-0.016420623
31	1.2174239	0.48901349	0.21649182	652.10097	3.4100652	1.4561077	-0.62097552	-0.043413309
32	4.3717974	-0.41336165	2.0776688	82.917462	3.6201407	1.3993982	0.40965807	-0.030193093
33	1.2460372	-0.4714884	2.4789307	385.88786	4.4291934	1.5582485	0.71537049	-0.024468735
