simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.6661491	-0.91702632	2.6390425	1496.2548	36.879216	4.4139387	-0.48325248	-0.22161508
1	1.6527006	-0.55067389	2.0945929	1495.4661	29.636253	9.8990842	0.28002349	0.85937898
2	4.5764626	-0.15492087	0.41368392	3302.8415	36.58105	13.093521	-0.40585862	0.51631628
3	5.4791453	-0.15435469	0.73982172	895.73225	17.895326	5.1606092	-0.68237596	0.57807254
4	1.9301014	-0.42817376	2.3582346	2028.3667	27.935579	19.056835	0.54182663	-0.67826721
5	5.9971485	0.2547955	2.310982	671.05984	12.628176	6.4952568	0.89907431	-0.91623237
6	2.3872852	0.87115953	2.0523366	1403.1174	36.506891	7.5622364	0.79797908	-0.78342012
7	3.6229343	0.58563957	2.6432339	438.71091	5.2169355	3.720838	-0.13397945	0.89926702
8	3.3238176	0.39041463	0.35682708	1334.7129	9.4049188	4.4866866	-0.49758015	0.37504727
9	2.9578287	-0.54325895	1.7584817	416.40713	7.4042552	5.7012963	-0.58796631	0.63150127
10	0.51457126	-1.0153521	2.9566765	1303.0132	7.9342301	5.9045574	0.7070174	0.39251077
11	5.9830292	0.95627987	0.48259436	984.96154	13.449937	5.5579896	-0.84448483	-0.1908277
12	3.8582857	-0.87603941	2.1521669	3611.581	52.02572	18.369012	0.80270773	0.30450928
13	0.35459836	0.064122102	2.2494975	3074.9043	46.588417	29.33018	-0.78224519	-0.038920362
14	4.4502202	-0.50073823	1.6443882	510.51494	5.8706217	4.5700461	-0.1599996	0.27820423
15	5.6506628	-0.36935393	0.35050462	4039.4412	64.967021	21.890475	0.77181554	-0.26887205
16	2.7040567	-0.39850663	1.079266	366.13783	10.426166	5.8861555	0.10495666	0.67254529
17	2.8332877	0.2730144	0.88097232	2089.6923	8.8707624	7.4609518	0.79523014	0.777261
18	5.0818308	0.52572448	0.78474245	1231.5832	14.262041	5.1511937	0.42536466	-0.25622117
19	6.1371103	0.19955755	2.3353877	2064.8877	22.606051	14.525696	-0.30489419	0.31716874
20	0.091183864	-0.19357572	1.2876613	894.54554	11.631361	3.8871826	-0.6928024	-0.59423636
21	4.4136631	0.11584202	1.039474	820.92519	25.287454	6.9921757	0.36810641	-0.42110391
22	4.2286047	-0.14170992	2.079091	941.134	36.616057	4.9587454	0.91189165	-0.31915976
23	0.066162298	-1.2565751	0.50810262	1107.5822	6.1533955	4.4956376	0.6918049	0.56638376
24	4.9223536	-0.027501914	1.6974364	851.78269	24.916006	6.4079961	0.82585982	-0.77307506
25	0.42752206	-0.5246437	2.9179142	2642.8704	14.659143	10.728389	0.40156271	0.44776495
26	1.2879053	0.19898706	2.9649923	1551.8615	47.181873	5.8373989	-0.65667564	-0.65756891
27	4.8357705	-1.277131	0.67451996	1209.4715	9.0572426	4.5111257	0.92362555	-0.036685406
28	5.2186876	-0.021674531	3.0421775	2368.0585	58.061337	10.018249	0.67980768	-0.24596232
29	2.166302	0.31615576	2.5167302	2006.986	20.787869	12.560221	-0.26707972	-0.93450753
30	5.0218295	-0.24711925	0.068542431	1770.6447	12.783941	4.2941975	0.98308827	0.347043
31	5.4703317	0.13633982	2.1433292	534.58493	12.207573	3.7414741	0.45646346	0.66401848
32	5.9542654	1.2930826	0.25454636	3344.3721	66.054669	8.8496975	0.79816315	-0.88523292
33	1.4080519	-0.76610009	2.184316	1400.7001	9.1782785	6.3134447	0.9605751	-0.81272821
34	0.65431688	0.78784981	0.30477287	1530.6263	53.08894	34.933052	-0.3520525	-0.79607888
35	0.90001414	-0.32366657	2.7811768	1536.2126	40.962527	4.1729514	0.25060057	-0.17632305
36	1.3161058	-0.64388903	0.53546069	1265.5204	52.28841	4.3520414	0.96275499	0.48753357
37	2.6074591	-0.92781966	2.9113443	2058.8446	17.682702	4.8735853	0.18173188	0.5158553
38	5.1780088	-0.89913346	0.18006638	2167.8902	35.259511	32.317068	-0.15822066	-0.54675853
39	4.8291842	-0.48198172	1.2720993	1481.5533	34.15269	21.050345	0.49990478	0.72291204
40	4.6686744	-0.21640408	0.46857346	3624.6395	31.103501	14.35292	0.98534735	-0.044128868
41	6.2480482	0.34796534	2.1290409	617.31785	8.6868275	7.3119843	-0.65533093	-0.5722749
42	1.3461192	-0.48002079	2.6337377	2201.7707	20.242556	8.2406525	0.040428456	-0.31555083
43	1.8778272	-0.55052568	0.4043954	4237.3544	37.601408	28.066337	0.12690331	-0.51849996
44	3.3265122	-0.19651118	2.7759645	1346.5627	23.853253	6.5785107	-0.53410443	0.50038022
45	0.37307845	-0.43503502	2.8834601	298.84396	11.686834	3.4841405	0.12021028	0.0088726377
46	4.3268888	-0.99590663	2.5670556	1200.5473	14.381764	5.3975246	0.47595962	-0.79680098
47	5.0874881	1.0580646	0.032352303	366.26347	6.2803187	5.5878512	0.95333553	-0.84238612
48	5.179977	0.38980256	2.2411818	3541.0871	66.791521	37.480724	0.19707496	-0.98105446
