simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
0	3.8945277	-0.085180657	0.19184119	3995.4745	22.347655	17.929998	-0.050369869	0.18294185	6.256989002227783	-2.845489740371704	1016917851	150459766	1016917851.171046
2	4.2269646	-0.94302286	1.8136851	2811.2601	47.150186	43.820054	-0.068488657	0.059639043	2.3547627925872803	2.441895008087158	1001766292	231112838	1001766292.249949
3	3.2912287	0.66235522	1.9793623	2036.8767	49.226327	25.218068	0.66818394	-0.11142979	5.124524116516113	-1.354522943496704	1020927051	355518937	1020927051.338156
4	2.4494884	0.67171123	3.0420277	6562.5199	70.462749	66.007035	-0.11279452	0.52830733	0.45318669080734253	-2.5108656883239746	1003766881	878077745	1003766881.861053
5	3.556187	1.2974908	0.76308083	1771.8833	20.7705	17.321033	-0.091218858	0.26692396	2.701397657394409	-2.41475248336792	1015945820	285926342	1015945820.271085
6	3.4936268	-0.20759648	1.1455371	2487.0434	21.456597	17.923768	-0.038754369	0.69569626	0.6794537305831909	-0.7187367081642151	1010112077	112367392	1010112077.130762
7	5.6018954	-1.1613052	1.6899994	1070.9362	29.189312	12.943543	0.17293877	-0.20789692	1.7695342302322388	1.6623202562332153	1010739844	3391147	1010739844.018096
8	0.43188698	-0.55696732	0.50728767	1765.7204	86.441867	24.946914	-0.014093571	0.69855874	5.192784309387207	1.4336243867874146	1022738187	73787928	1022738187.094154
9	3.5144645	-0.29861814	0.24339957	3511.0169	27.184394	11.558127	-0.87388361	-0.11785238	5.012875556945801	-1.9532583951950073	1006141145	566006541	1006141145.580978
10	0.77399988	-0.02239158	2.2213498	4769.1543	48.566599	37.772281	0.079338285	-0.017122895	5.929073810577393	-2.2971580028533936	1014044899	2479792	1014044899.006786
11	2.0567306	0.71463211	1.2443185	4374.2193	50.218879	49.249434	0.056953614	0.46314132	5.769659042358398	-0.3943037986755371	1006248606	558852673	1006248606.54355
12	5.0975718	1.0016058	2.4175474	4499.7599	76.450624	55.82363	-0.40362802	-0.46100113	6.157134056091309	-2.445739507675171	1005780623	423026800	1005780623.407877
13	0.74337634	-0.47133015	0.61827206	2914.6162	39.530589	22.683093	-0.033332132	-0.009808367	0.8350709080696106	-0.09548283368349075	1013077808	84770560	1013077808.103902
14	5.2306863	0.17499876	2.3534463	2351.0269	43.072454	39.432779	0.017677925	-0.040078319	0.042305100709199905	2.528930425643921	1007163906	705476522	1007163906.693897
15	4.6159545	-0.76944449	0.87081157	8916.7161	73.703978	63.342956	0.025722992	-0.16782249	4.48177433013916	2.4724345207214355	1002628665	953107476	1002628665.968077
16	1.635226	-1.410153	2.0709078	2224.0357	77.533965	73.03134	-0.14846803	-0.41294991	1.037500023841858	1.9785284996032715	1030038245	614469051	1030038245.63058
17	0.48716586	-0.62965263	2.3569845	1990.6184	71.313494	65.609416	0.1063664	0.28341235	1.147672176361084	0.1769934445619583	1008892865	509819269	1008892865.507174
19	2.9022432	0.58571484	0.76740118	1682.9212	25.648165	24.451339	0.052843938	-0.057605295	3.0264925956726074	0.4146346151828766	1012702655	514926314	1012702655.501933
20	2.9073645	0.58835223	2.7814045	2755.1551	29.537981	21.999207	0.27182637	0.29126784	2.348418951034546	3.0060737133026123	1025136587	680792570	1025136587.662983
21	6.0921157	0.13767337	2.4691919	5391.9014	55.105645	45.329739	0.3924135	-0.4258484	4.901133060455322	1.024448037147522	1006972579	307809830	1006972579.299161
22	2.1424583	-1.2913577	1.5159207	3160.7612	58.204272	55.954782	0.041144794	0.065472418	2.123857259750366	0.9392939805984497	1009335679	6832480	1009335679.019036
23	3.577894	0.37533237	1.0283546	1736.0052	56.127455	39.483615	0.30244308	-0.24580154	1.7693471908569336	-2.3807592391967773	1007185641	478027225	1007185641.465586
24	3.3870832	0.83179312	0.58871141	1319.5744	8.7526243	8.0901918	0.058716063	0.45526297	0.5797930359840393	0.8469560146331787	1024272915	677972674	1024272915.660499
25	3.70423	0.69447503	0.19379682	1814.5968	34.827667	12.804486	-0.38490538	0.55143541	2.0198569297790527	-0.7925175428390503	1021593410	819823503	1021593410.808482
26	0.82973877	-0.44661803	2.9155962	4158.0116	70.85224	31.060296	-0.52053608	-0.12920724	3.338839292526245	0.8589519262313843	1005305979	59871197	1005305979.06583
27	3.5817722	0.52802104	0.6735585	3010.3007	17.610091	11.260984	0.095516649	0.22668323	3.561800718307495	1.5369129180908203	1027291284	17526865	1027291283.999975
28	3.7971859	0.87535684	0.38678959	276.88314	15.876698	13.699112	-0.068090942	-0.1472686	1.3379265069961548	-2.081282138824463	1026305955	487770796	1026305955.480196
29	0.66888419	0.72449942	0.41072353	1722.8731	43.959914	34.434496	-0.17345239	0.37463388	1.6419825553894043	0.47230836749076843	1027175003	38534403	1027175003.019531
30	5.5552748	-0.033335504	2.5617974	1394.7456	21.678214	19.537175	-0.0094204212	0.0095780797	5.924498558044434	-1.3660707473754883	1010393985	970815659	1010393985.987212
31	0.53982427	1.1269099	0.856043	2288.7277	17.445991	16.95202	-0.21001743	0.50657887	3.772352695465088	1.170348048210144	1012765682	497575641	1012765682.482169
32	1.0518533	0.45252743	2.1388016	1021.4118	17.174541	15.21817	0.29010668	0.14972387	2.0001556873321533	1.56976318359375	1001422567	417611599	1001422567.399784
33	4.887987	0.4530534	2.4227204	3225.5005	52.463128	49.051921	0.015993295	-0.20427346	2.854292392730713	-1.6224044561386108	1011236110	251408815	1011236110.260154
34	3.9262421	0.79371775	0.6043866	2664.7074	46.57998	29.004522	-0.0013823854	-0.40058014	3.9545087814331055	-1.2374030351638794	1006402006	786593080	1006402006.786244
35	5.3577668	-0.62833181	2.7909815	4602.306	58.402466	30.096798	0.2938965	0.0094278919	1.1198530197143555	-0.25575071573257446	1031102000	71989298	1031102000.068007
37	2.0386411	0.97228766	1.2593167	2087.4304	35.856965	27.356351	0.0023244177	-0.16612032	3.5837628841400146	1.1380623579025269	1002453697	729795575	1002453697.714128
38	5.900473	0.87225024	0.82230985	1384.6827	44.070918	26.85235	-0.016167148	-0.07166154	3.358522891998291	-2.6992580890655518	1019892689	540397048	1019892689.525124
39	5.02435	-1.3291572	0.50467617	1447.7127	10.598689	8.6213163	0.0037456646	0.23190637	3.2522122859954834	-0.5515111684799194	1027511477	287935019	1027511477.303483
40	0.031976042	0.17489739	2.1404478	2940.4711	44.803882	38.092902	-0.10421662	0.13898239	5.802648544311523	1.7319773435592651	1019354308	861021757	1019354308.87143
41	5.9295225	0.21475725	0.68516475	3602.0678	42.983773	20.864045	0.19758189	0.091156226	1.8450219631195068	3.0235888957977295	1018098335	204269052	1018098335.193648
43	4.7891803	0.26134567	0.83688553	2106.7152	37.576232	23.225747	-0.22588296	-0.04493487	3.8956940174102783	0.34255966544151306	1017911846	864366174	1017911846.846631
44	4.4689275	-0.28328262	0.45832952	7599.1349	105.29081	76.871961	-0.01928915	0.15673017	4.978577136993408	-1.5695029497146606	1019067249	744156480	1019067249.757434
45	1.4140941	0.079312497	0.46812753	5536.8045	87.394802	58.404924	0.034912149	0.22532485	0.5116215348243713	0.02998054027557373	1014659649	972730279	1014659649.972571
46	3.6540859	1.1675	2.6359121	8938.5702	56.739686	52.405864	0.17043974	0.28136981	4.83793830871582	2.2415614128112793	1031003428	813654304	1031003428.797883
48	5.0108248	-0.30589353	2.4735549	2848.2891	42.877498	16.76081	-0.026446005	0.55933802	5.3841166496276855	-0.009556625038385391	1027940190	841770530	1027940190.849985
