simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
0	5.581021	-0.50267165	2.2354978	3382.9251	35.061935	34.344126	-0.33036603	-0.0076632668	2.849034309387207	1.5726593732833862	1018499318	815312982	1018499318.834137
1	0.43188698	-0.55696732	0.50728767	1893.3092	44.357721	34.219035	0.017457798	-0.015936512	5.192784309387207	1.4336243867874146	1022738187	73787928	1022738187.093994
2	1.4714451	-0.6398126	1.6305539	799.74446	22.164957	19.514237	0.19391438	0.076688886	1.5744373798370361	-0.6036750674247742	1020762936	699226141	1020762936.720109
3	1.2704703	-0.82123797	2.2630268	2478.8717	34.918872	33.379747	-0.16654515	0.15854392	0.1536063849925995	2.526787281036377	1012844585	883272767	1012844585.902588
4	3.1388802	-0.82096818	2.3758656	4838.6152	57.761789	43.922174	0.20111176	0.11670935	4.923471927642822	1.8990651369094849	1014419723	310418248	1014419723.331299
5	0.69378189	-1.3281683	2.1264561	2166.268	57.713852	52.974511	0.21372471	-0.0021588684	3.413562774658203	2.629821538925171	1025208158	755741835	1025208158.76767
6	5.2884446	-0.3925152	2.7789984	1787.9602	15.810547	8.4432264	0.0094359428	0.5181772	5.161867141723633	2.6593337059020996	1002025367	787309647	1002025367.805663
7	5.3848129	-1.4872694	0.39693982	4879.244	109.88714	83.251946	0.18290144	-0.45177332	0.9669809341430664	-1.845173716545105	1011795939	325389028	1011795939.338309
8	4.7482638	0.95330657	2.5572821	7095.956	73.228657	64.930067	0.87843616	0.74541401	2.5223259925842285	-1.596745252609253	1002492852	530009031	1002492852.510833
9	0.48716586	-0.62965263	2.3569845	2003.9239	55.670783	52.411881	0.11177986	-0.051377988	1.147672176361084	0.1769934445619583	1008892865	509819269	1008892865.50615
10	3.6021614	0.70746652	2.6355427	1660.5091	11.483104	9.7269489	-0.18574953	0.30195316	0.4016466438770294	1.004992961883545	1013356527	454400659	1013356527.449877
11	0.74010806	0.84076389	2.9093968	6465.8391	106.15106	24.224336	0.57018332	0.0044322367	3.581961154937744	-2.0470731258392334	1030190123	322396755	1030190123.303033
12	6.2678865	-0.47567179	2.7804448	8566.3613	71.279573	69.493123	0.0046516507	0.20277002	4.143948554992676	0.32786011695861816	1013513897	7139683	1013513897.024281
13	3.3870832	0.83179312	0.58871141	1233.9733	8.65099	7.9962496	0.058716063	0.45526297	0.5797930359840393	0.8469560146331787	1024272915	677972674	1024272915.658787
14	3.70423	0.69447503	0.19379682	1773.699	16.848932	13.349607	-0.29508184	-0.2363848	2.0198569297790527	-0.7925175428390503	1021593410	819823503	1021593410.808704
15	3.5817722	0.52802104	0.6735585	3119.9286	48.939003	40.753216	-0.11274936	0.6350153	3.561800718307495	1.5369129180908203	1027291284	17526865	1027291283.998195
16	3.7971859	0.87535684	0.38678959	274.64673	27.827528	26.384573	0.12137735	0.21521371	1.3379265069961548	-2.081282138824463	1026305955	487770796	1026305955.487796
17	0.66888419	0.72449942	0.41072353	1612.3675	21.764365	10.693866	0.18457266	-0.26367764	1.6419825553894043	0.47230836749076843	1027175003	38534403	1027175003.017578
18	3.9378139	1.1195633	0.44109271	4819.9842	49.04258	25.416388	0.20418301	0.029354132	1.5898056030273438	0.22219888865947723	1010775401	110533118	1010775401.09526
19	6.1280585	-0.5691877	0.23365737	4958.4529	47.282398	39.637336	0.56930864	-0.25754521	0.47214993834495544	-0.33770400285720825	1012202965	431079984	1012202965.450129
20	2.5551373	0.15590735	1.3743943	835.21633	11.808455	8.5607819	-0.099403981	0.058781813	2.429877758026123	-1.8798387050628662	1006090283	589220881	1006090283.571211
21	3.9262421	0.79371775	0.6043866	2713.2527	32.177634	27.117263	0.59195843	0.013217561	3.9545087814331055	-1.2374030351638794	1006402006	786593080	1006402006.78779
22	1.277467	0.27687017	0.54791956	1180.1732	61.281998	31.458903	-0.11816985	0.17747219	1.6529030799865723	2.983405113220215	1001213750	642399311	1001213750.646362
23	2.9328673	0.2391873	0.1338611	3626.203	25.016894	20.862205	-0.091218858	0.26692396	3.4373114109039307	0.21502700448036194	1011006630	417090178	1011006630.399179
24	2.7429147	-0.83090338	0.42219035	2063.373	16.140819	15.094796	0.3045711	0.72513399	5.3430094718933105	-1.1088143587112427	1031129843	270183086	1031129843.28785
25	5.0093436	0.57978635	0.44123057	8386.1778	69.42085	57.164322	-0.29712012	0.56761551	5.811455726623535	-2.542269468307495	1023526060	835318565	1023526060.815115
