simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
18	2.7476572	-1.2241757	2.8669594	1329.0568	3.2124932	2.6567653	0.28543241	0.066467231	4.396332740783691	-1.9076528549194336	1026228046	732053757	1026228046.743247
28	3.70423	0.69447503	0.19379682	1431.1591	3.2200151	2.412471	0.17306622	0.037548156	2.0198569297790527	-0.7925175428390503	1021593410	819823503	1021593410.806271
31	3.7971859	0.87535684	0.38678959	203.77752	2.0644817	1.6678797	-0.061078237	-0.00031229967	1.3379265069961548	-2.081282138824463	1026305955	487770796	1026305955.47963
33	5.5552748	-0.033335504	2.5617974	990.24068	2.3570779	2.1939965	-0.070755765	0.042704928	5.924498558044434	-1.3660707473754883	1010393985	970815659	1010393985.986953
40	1.0518533	0.45252743	2.1388016	636.00892	1.6066077	1.5579268	0.20805769	0.069469268	2.0001556873321533	1.56976318359375	1001422567	417611599	1001422567.403697
41	1.277467	0.27687017	0.54791956	952.73124	2.8734913	2.3377556	-0.084361384	0.16737103	1.6529030799865723	2.983405113220215	1001213750	642399311	1001213750.643706
52	2.4513505	-0.22354046	0.33238289	794.15504	1.5410661	1.4319393	0.089587028	-0.1277231	3.6353273391723633	-1.2125569581985474	1025170823	473563671	1025170823.491941
57	4.5625499	-0.0033924737	0.32873468	636.56451	1.9580471	1.4436337	-0.059587195	-0.017365953	6.272561073303223	-2.961184501647949	1027784823	782459617	1027784823.797446
62	0.17145007	0.40632663	0.63911067	684.78589	1.830751	1.6839048	0.0071703854	-0.12456184	0.290666401386261	-0.6752236485481262	1002087341	154832840	1002087341.133864
63	5.6884721	0.11746066	2.4076972	782.39912	2.1029538	1.6288307	-0.036435074	-0.28413161	3.1854560375213623	0.36405444145202637	1006205723	915795922	1006205723.902582
67	5.8845313	-0.62850955	0.82015032	253.34232	1.3904542	1.3504922	-0.018672493	0.0047377573	3.434696674346924	0.6083540320396423	1024873390	502776980	1024873390.523193
82	0.22270614	0.70805593	1.8320307	649.05877	1.5540701	1.3447901	-0.083763635	0.0026482701	6.272873878479004	-2.2033743858337402	1012858396	931550026	1012858396.907208
91	3.3950243	-0.33706707	2.3010108	487.65838	2.1821147	1.9537788	-0.14975753	-0.052046308	3.2534031867980957	0.14345084130764008	1022464119	957714438	1022464119.950723
95	1.4256659	-1.163838	1.2945891	403.43998	1.795996	1.2253143	0.20242059	-0.1988663	5.168819427490234	-1.4674898386001587	1029127329	843686223	1029127329.860171
97	0.59251636	-1.2848864	0.045897956	1494.7088	1.928245	1.8253686	0.039933479	-0.29873818	5.096432685852051	-2.8045761585235596	1025167523	105770946	1025167523.116631
102	3.1877311	0.031799557	1.0878383	334.06311	1.933592	1.6135121	0.083979808	-0.041512105	0.8048993945121765	0.7454833984375	1009267768	21252394	1009267768.025805
106	3.6029505	-0.86447741	2.8300176	1732.5892	3.1777757	1.62137	0.063266209	0.053756537	5.297839164733887	-2.5828425884246826	1006234331	84162116	1006234331.10788
114	1.8504877	-0.031823257	0.82568036	985.2756	2.0127456	1.5978086	0.013353342	0.08471238	0.36659130454063416	2.6307411193847656	1022575855	42218208	1022575855.056644
120	2.2987218	-0.66782778	2.2454705	679.47093	2.2338542	1.8039441	-0.014156928	0.24071834	0.2366563230752945	0.6913602948188782	1011722560	242466450	1011722560.262486
125	0.71179619	-0.57124169	0.43502244	1508.7715	1.9867661	1.5827824	0.14952428	-0.0062670534	3.0490458011627197	-1.291051983833313	1010754956	390092254	1010754956.408874
142	1.786631	0.68409147	0.40715415	968.3002	2.4780567	2.0885843	0.10602717	0.011452219	2.1173501014709473	-0.8852009773254395	1021484473	992090106	1021484473.975607
163	4.6016685	-0.43314576	2.5337191	683.21822	2.072693	2.0007311	0.033413632	-0.039196389	4.040205478668213	-0.920013427734375	1021736063	501402736	1021736063.512061
164	5.3373964	0.1944663	2.1127356	109.18523	2.0442393	1.8805364	-0.010546948	0.1791654	5.254858016967773	-0.05492151528596878	1014507033	270133138	1014507033.265952
165	5.6967739	0.28608051	0.4561375	1053.6815	2.8496958	1.9786197	0.0088717009	0.11477547	5.278564453125	2.1577863693237305	1012250754	768788338	1012250754.755656
170	5.7311327	0.79517612	0.80954091	404.6626	1.6355546	1.5399625	-0.2244059	-0.24093392	3.667238712310791	2.829974889755249	1011973667	365812659	1011973667.351031
173	0.20515139	1.1293232	0.9209096	1291.6482	2.1105868	1.6599691	-0.016229782	-0.35993848	2.26774525642395	0.6478332281112671	1000621667	423689842	1000621667.402206
175	5.7735064	0.17923819	0.4441044	1108.032	3.0875891	2.686436	0.93348681	-0.05929994	5.869274616241455	0.034863218665122986	1025909402	794589043	1025909402.80208
177	4.8158785	-0.38728304	2.9822675	1004.0505	2.2526888	1.684926	0.056411925	0.34203432	1.675395131111145	-3.133934497833252	1014594977	765577435	1014594977.782157
180	4.7244838	0.055420077	2.6755138	441.27134	1.4882069	1.3371476	0.15605055	-0.0087809637	3.9848034381866455	-1.5281753540039062	1019115986	810355186	1019115986.799803
184	1.4531814	0.43086688	0.52270233	2609.6305	3.4562466	2.8506263	-0.013775604	-0.046753609	1.4319134950637817	2.448254108428955	1016233042	655141592	1016233042.639728
188	0.66535425	-0.12373146	2.818656	817.73502	3.2814075	1.9929941	0.0481763	0.011912023	1.539509892463684	-0.6102507710456848	1006236364	261778712	1006236364.247032
191	4.6484458	0.3994863	0.98852277	364.32633	2.6514664	2.3107894	-0.023298977	0.090424504	3.8101048469543457	-0.6087339520454407	1008267304	960808992	1008267304.9438
192	1.4484263	-0.63576369	0.93861788	448.18259	1.4572089	1.3690921	0.063058358	0.090639594	0.447170615196228	0.8923078775405884	1004656958	426042318	1004656958.434687
198	5.6862092	0.62721463	2.3336412	2265.5239	3.7700404	3.4961495	-0.19903102	0.3313496	3.386752128601074	0.029189692810177803	1004831939	352582812	1004831939.336476
203	0.4239015	0.16744121	2.2705218	658.525	1.7755725	1.38762	0.0015586541	-0.070639334	4.9738664627075195	-1.151509165763855	1018622305	470410943	1018622305.455747
205	4.7860584	0.68903642	0.77036909	560.15262	2.0983436	1.9028899	0.10580751	-0.10818991	1.4861958026885986	-2.8171303272247314	1027044713	670532346	1027044713.65344
218	0.74084987	-0.15450337	2.4096784	426.23695	1.6544894	1.3264401	-0.17437433	0.014066261	5.299139499664307	2.078540563583374	1009003750	633914471	1009003750.628383
221	0.69248865	-1.04349	1.7904534	576.12412	1.4024067	1.3481265	-0.23802956	0.13992303	4.633700370788574	-0.6703563928604126	1029357121	160189986	1029357121.170591
222	6.0422185	-0.82245846	2.5673898	545.33757	1.9182535	1.768172	-0.058888052	0.1796802	4.676052093505859	1.5530166625976562	1000314673	422108650	1000314673.442393
227	3.0608573	0.70943968	1.5734348	305.17467	1.8202817	1.3795389	0.28771393	-0.17642647	4.835807800292969	-1.3209364414215088	1005475624	720668554	1005475624.705655
235	3.1244503	0.86260888	0.46937215	2612.3078	3.8654632	3.017764	-0.36956739	-0.20486615	5.6220598220825195	-2.2223827838897705	1029525370	9692430	1029525369.988469
245	6.1140288	0.38822606	2.2823534	958.79387	1.8107593	1.757589	-0.058990229	-0.098585143	4.164523601531982	-2.405060291290283	1027511030	112923741	1027511030.096956
259	5.3942362	-0.75930781	1.1613845	121.54648	2.1086698	1.526639	-0.042715258	-0.024932431	0.05012752115726471	2.753676652908325	1019348129	454129219	1019348129.474041
260	2.4581263	-1.4129542	2.079836	855.39977	2.1154404	1.8841901	0.033234376	-0.06807238	3.886538505554199	2.8061211109161377	1013607252	451226711	1013607252.470167
262	3.1153562	0.30342824	2.4094622	580.36057	2.395743	1.7497936	-0.21520278	-0.13601798	3.08044171333313	-2.036595344543457	1009588663	214059472	1009588663.220032
270	3.0974585	-0.68239946	1.1365684	344.0688	2.1439442	1.8522262	0.18643766	0.028163082	3.2971739768981934	-0.20948374271392822	1011303961	804257751	1011303961.824698
272	4.9866342	-0.046079493	2.3925642	298.50195	1.3298606	1.3163821	-0.055504767	0.1120478	1.5569549798965454	-0.5402331948280334	1005486343	256398320	1005486343.254956
277	0.54721239	1.3310304	2.8003542	992.54349	1.7224492	1.7062564	-0.14723454	-0.24981757	3.5749924182891846	1.2574342489242554	1003738438	907295108	1003738438.898746
283	0.061813101	-0.56008765	0.90658604	9294.0012	5.7709442	4.6253839	-0.020847847	0.2822839	2.317176342010498	1.973408818244934	1001623602	675587058	1001623602.686826
285	0.22181978	-1.0038999	1.7644685	536.96051	2.3834741	2.2964209	-0.012035352	-0.28122487	2.405428886413574	-2.7576749324798584	1015152164	683887959	1015152164.702467
286	6.0829405	0.011300149	2.0807282	1045.8083	3.285148	2.6732202	0.0028898873	0.29833243	0.1909080147743225	2.396186113357544	1024670460	317039728	1024670460.312878
298	0.64996012	-0.53496933	2.6347221	1102.523	1.8711699	1.4542422	-0.17147079	0.03205951	4.9017510414123535	-2.478739023208618	1017225855	654101849	1017225855.663778
299	2.3847226	-0.85391502	1.2962211	6039.0203	3.8619451	3.3224111	0.19997208	-0.11047866	0.1705002635717392	0.9799653887748718	1028078378	27335405	1028078378.039981
302	2.4400603	1.3253426	0.62853526	480.1554	1.2829361	1.268497	-0.16160724	-0.3554233	1.8055390119552612	-0.8059364557266235	1028999168	418889999	1028999168.399976
306	5.3009943	0.73230499	2.1752874	576.44238	1.6063822	1.5057559	-0.038179486	0.014943726	5.111140727996826	0.7641409039497375	1017320056	473621726	1017320056.45722
312	2.2096953	0.56785151	0.57633234	1007.8835	3.1569042	3.0334794	0.18349578	-0.63860464	3.379157066345215	-0.3725677728652954	1009134511	783901453	1009134511.78465
318	5.8981468	0.058671865	1.1871384	745.41318	1.4601096	1.3327618	-0.11505023	-0.14353482	3.8555309772491455	-1.058367133140564	1019362594	634475589	1019362594.640834
322	1.9603628	0.20258853	0.507378	687.5665	3.0013675	2.6740986	-0.67841936	0.013201914	0.03719235584139824	-1.8452550172805786	1015190941	478508472	1015190941.478814
324	2.5839529	0.57273647	2.8458794	400.68061	2.6723043	1.9319918	-0.048381119	-0.098921336	0.27184730768203735	2.314150094985962	1000710734	807611346	1000710734.79484
328	2.8824834	-0.18194166	2.6717784	1137.3115	2.7910718	1.6215094	-0.20098257	0.14852518	3.16938853263855	1.109404444694519	1014232326	496415257	1014232326.510391
329	1.2494087	-0.65017802	0.67286493	410.86948	1.4371049	1.3249269	-0.094824593	-0.1213783	1.3817145824432373	-0.1577765941619873	1001881688	405323625	1001881688.425876
330	3.830283	0.24040831	2.468018	508.66902	1.9397017	1.7345837	-0.16166318	0.20953222	2.1782119274139404	0.9722302556037903	1016060960	869002700	1016060960.876127
331	2.3893545	-0.25865662	0.63523167	1145.2382	2.3627408	1.6470892	0.044336451	0.17051148	3.7072949409484863	-2.2531919479370117	1005607761	847602844	1005607761.864144
334	0.78230303	-0.84910351	0.82161027	838.98467	2.9186901	1.4813693	0.29263527	0.2778707	3.499722957611084	-1.4986886978149414	1022822197	301938534	1022822197.326029
337	5.6849784	0.34444741	2.7051953	617.1433	2.3454098	1.3233017	0.023428771	0.28008923	0.8850389122962952	2.438884735107422	1019486791	476173997	1019486791.456252
361	1.9339128	0.67520258	2.4848932	931.36833	2.7271726	2.3107575	0.18158781	0.2778217	2.16743803024292	-1.5857024192810059	1021707980	428154230	1021707980.43049
366	2.4041229	-0.2547009	2.3868201	553.44248	2.0246817	1.7039035	0.22321454	0.056009632	5.783039093017578	-1.3601479530334473	1017343028	913434625	1017343028.926429
369	5.0911362	-0.60856262	2.7314051	2626.2125	4.0598274	3.8900702	-0.11083175	0.091303644	3.5009689331054688	0.292789101600647	1000818692	527607679	1000818692.542399
373	3.3109261	-0.10375101	2.8659604	569.00395	1.8276755	1.636595	0.0015783962	0.23619279	2.8394789695739746	2.04701566696167	1008437210	511837363	1008437210.505878
376	3.7210825	0.21674095	0.98190121	938.27524	2.0337177	1.9013562	0.008693928	0.052078346	5.963508129119873	-2.8869659900665283	1010835983	9666920	1010835982.99391
378	1.9447457	-0.49472089	2.5847512	80.590369	2.1917276	1.3733686	-0.2048184	0.054726812	4.0030341148376465	0.805259644985199	1022769384	172374606	1022769384.183988
388	3.2766243	0.17193163	2.2850471	619.53641	2.209185	2.1697479	0.061121344	-0.018783295	2.35776686668396	2.4802463054656982	1004899283	819711566	1004899283.809421
394	4.8161088	-1.2955216	2.4875824	275.2099	1.802245	1.7901354	-0.083979181	-0.067423644	6.242918014526367	-1.7931584119796753	1027137101	967010975	1027137101.976007
398	2.9558267	-0.25724981	1.0674687	499.90706	1.7449108	1.5481378	-0.015814083	-0.061070057	1.4785670042037964	1.3416639566421509	1016463403	702429533	1016463403.716597
402	1.5604274	1.2422696	0.68478965	632.75089	2.1622933	1.8087958	0.0096771251	-0.066776297	3.1225602626800537	0.20410212874412537	1001333530	27910829	1001333530.015509
404	2.9079993	-0.31717821	2.2326279	929.77514	2.1343945	2.0633885	-0.090874581	-0.086255041	4.795708656311035	2.4730052947998047	1009501132	798054457	1009501132.817402
407	5.8382931	-0.26658126	2.9833028	656.29389	1.6305362	1.5194257	-0.13624752	-0.0024451584	4.499933242797852	-1.7411514520645142	1021136916	81370234	1021136916.075507
409	0.61230462	0.64064238	0.35073974	398.42167	1.7044337	1.6199954	-0.0017102223	0.024478602	1.2745704650878906	2.6090962886810303	1019692834	507346392	1019692834.49455
419	5.3976868	0.49031711	1.0495639	467.0027	1.8561328	1.5822237	-0.24600909	0.037142348	5.275001525878906	3.087574005126953	1028776192	620446086	1028776192.605676
425	2.9648328	-0.97171745	1.0375043	1065.5775	2.713437	1.7804373	-0.19268015	0.0013873724	4.3237762451171875	0.891248881816864	1001144104	141233444	1001144104.153067
436	5.5748131	1.0463169	2.6177128	324.1169	1.7488173	1.5546045	-0.12185999	-0.10312933	0.5846222639083862	-0.48259928822517395	1021062439	956443548	1021062439.943352
443	4.0165991	0.50657333	0.53762049	597.56348	2.4525708	1.7725254	0.0046457501	-0.0013735564	1.6665419340133667	0.9530418515205383	1009562493	707424879	1009562493.689599
