simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
1	3.8945277	-0.085180657	0.19184119	2829.4617	10.927045	1.9834168	-0.39365163	0.11535561	6.256989002227783	-2.845489740371704	1016917851	150459766	1016917851.156258
55	0.62996372	0.12289267	2.1665387	2020.4144	26.982859	3.618263	0.038311449	-0.046496162	0.3079396188259125	-0.02177112177014351	1009120433	450820923	1009120433.462571
107	2.434501	-0.44445802	2.6385445	1276.6775	7.9803787	2.9638835	0.016742751	0.0028533106	5.804675579071045	1.1026228666305542	1001128439	894866824	1001128439.914544
118	5.8493326	-0.054763019	2.7044718	1457.3743	8.6211337	2.8315814	0.86681756	-0.089131852	1.159841775894165	0.3563368022441864	1018059206	165912390	1018059206.179994
135	1.5961694	1.3630421	1.1669571	800.19997	29.530663	2.9752178	0.21068791	-0.74135325	0.5895624756813049	-1.9007848501205444	1017500532	32509089	1017500532.019838
140	1.7616645	-0.23895613	2.7726104	1173.4489	9.0281506	3.1055378	0.40918172	0.20284769	4.73012638092041	-0.8611082434654236	1027651160	422813654	1027651160.437618
159	1.7542944	-0.024825885	0.4115078	1102.1598	10.323489	1.4134517	0.013108765	-0.01136751	5.209874153137207	-1.5445555448532104	1013191337	52918077	1013191337.062323
194	6.0466993	-0.36310503	0.52853029	1816.5107	17.499365	3.71367	0.4675094	-0.1815405	5.490401744842529	-1.7703667879104614	1012890938	145833731	1012890938.15946
212	5.1659021	0.49943038	2.127071	1434.5686	9.3532175	3.2173556	0.40918172	0.20284769	5.3762102127075195	2.390899181365967	1022589332	689453006	1022589332.676817
223	1.5340812	-0.58757421	0.090012988	1133.5749	9.9133025	2.8803411	-0.018448544	0.098192956	5.486379623413086	-1.273817539215088	1012715210	430528045	1012715210.438748
315	0.95450631	-0.6928146	1.2030049	1044.5329	26.243088	2.1380283	-0.12410214	0.1244992	0.6782013773918152	-0.4602050483226776	1018763737	559585214	1018763737.576603
317	0.85922384	-0.91662939	2.0270559	394.86917	25.126449	2.1157326	0.35040659	0.036353275	5.695212364196777	2.258854627609253	1029903313	155454755	1029903313.170654
342	5.3000466	0.021367526	2.7149476	1233.5569	20.376081	2.447526	-0.040467093	-0.084287632	2.299356460571289	2.0593364238739014	1008343817	713572741	1008343817.713954
417	1.6801124	0.062291165	0.86146507	938.806	13.357467	1.8988908	0.62589853	0.039183785	2.2388739585876465	0.17878593504428864	1004439816	197335362	1004439816.184521
454	1.1213794	0.78235522	1.0283676	875.42717	6.3650647	2.7211156	-0.026196062	-0.015279904	4.336666107177734	-2.2516307830810547	1003407204	633040071	1003407204.61606
473	2.217603	0.79680838	2.5839702	3299.6664	5.8951104	3.5754509	0.10036982	0.055619663	4.280451774597168	-0.897162139415741	1005983970	730136871	1005983970.711199
525	0.34534654	0.52862836	0.61203317	2782.0838	14.720471	2.6515503	0.20649609	0.10115948	3.0205934047698975	0.568574845790863	1011570257	626502514	1011570257.608825
531	3.4672691	-0.85035293	2.7682958	967.20458	7.5227158	2.2943445	0.089593497	-0.075849442	6.2316155433654785	2.012500286102295	1019927688	267463923	1019927688.287255
556	2.5620479	1.0499768	0.99726714	1381.6539	12.3899	2.2372617	-0.35798191	-0.0042936575	6.088372230529785	-0.6808711290359497	1018310822	912701964	1018310822.894966
565	2.9191443	0.54477925	1.9876166	1677.201	28.931875	3.6257423	0.074778628	-0.18400668	3.016554355621338	-0.8130485415458679	1029180385	345296621	1029180385.326905
571	4.4490413	-1.117075	2.6960666	3263.3089	16.005051	2.7483115	-0.017640574	-0.027564199	3.175762176513672	1.5698399543762207	1028994459	856104016	1028994459.878203
584	3.4575488	-0.27043984	2.5155257	1459.6289	9.9762839	3.0533608	0.028150714	0.023929324	0.35521548986434937	-0.6547603011131287	1009821056	166195393	1009821056.159081
592	0.026519154	-0.0047922917	0.83594007	1109.7844	8.6836684	2.7351855	-0.019598697	-0.077406578	1.0081496238708496	0.25271308422088623	1010800657	979323626	1010800657.966889
595	0.88703221	0.43816993	0.75797817	784.71842	8.0386146	2.8543337	-0.0075470479	0.036991017	4.478219985961914	-1.4706387519836426	1005713738	929236	1005713737.985949
599	0.46859683	-1.0962544	0.7662463	637.26327	6.805721	2.3058663	-0.22251715	0.066751192	1.6044378280639648	1.183495044708252	1006955455	858324885	1006955455.876786
628	0.62402779	-0.94762963	0.83160169	2181.7588	10.715891	3.5464357	-0.53258294	0.28135765	1.9364591836929321	-1.5108516216278076	1023583767	523701072	1023583767.540779
674	5.710239	0.24358993	3.0334561	1156.0832	9.9326169	2.1885344	-0.081897803	0.15067423	4.0357255935668945	-1.9146171808242798	1019815100	886276007	1019815100.875232
704	0.40001116	-0.23919563	1.9469141	1073.0459	7.9136892	2.9237601	-0.020352366	-0.10475793	2.126530885696411	-2.755981206893921	1009376298	939489245	1009376298.958678
714	4.6842071	0.26274361	2.2144855	479.97423	7.4319994	2.5834623	0.12129853	0.0065219105	0.3085184693336487	-1.1691031455993652	1012155381	838608742	1012155381.82296
730	4.3293577	-0.28445358	2.3537135	1519.4142	10.461768	2.1552369	-0.087255821	-0.067179165	5.844964027404785	0.6935007572174072	1025633162	357851624	1025633162.374564
760	5.4341157	1.0583418	1.9198854	1117.3953	7.658096	3.1704058	0.54389002	-0.15308555	4.168825626373291	3.017939567565918	1003379903	91053128	1003379903.075369
766	5.6036994	0.99036681	0.28154378	1278.4646	23.199229	2.0796559	-0.044058195	-0.24472186	5.9019060134887695	1.879868507385254	1002510953	964609742	1002510953.946595
809	3.183257	0.67645076	2.6954273	2942.5255	22.597999	3.825217	-0.2070771	0.56969732	2.3629226684570312	-0.6508071422576904	1030047173	329182267	1030047173.308632
825	5.8066382	0.55482883	1.138561	2556.3988	11.289847	3.7141211	0.22213039	0.043953331	2.6406056880950928	1.0774998664855957	1011132163	289041162	1011132163.283617
908	3.8535211	-0.39045875	1.0989602	1034.607	15.097118	2.3236989	0.034162595	0.023768819	5.416537284851074	-2.0458970069885254	1022340678	716235161	1022340678.731453
923	4.4567737	0.97439093	2.5525719	5979.8183	12.697678	4.2775274	0.027025117	0.0016158889	2.767258644104004	0.0864906907081604	1005455075	19443393	1005455075.013105
1023	5.7122125	-0.038343712	0.63230766	1606.1461	7.8046291	2.8242654	0.16403489	0.030757145	6.171955108642578	-0.63388592004776	1002949328	240694642	1002949328.229679
1082	3.7721283	0.55057564	0.70708287	2047.2481	22.52841	3.5335647	-0.069759522	-0.19041401	2.677008628845215	-2.427748680114746	1001175448	319866419	1001175448.304535
1103	3.2457841	-0.71598216	3.0473851	992.52422	10.446371	2.1912213	0.042268699	0.036581602	3.721745014190674	-2.0772407054901123	1008841757	145588756	1008841757.151973
1140	3.1849865	-0.18232434	0.88730323	1071.5499	16.986488	2.5678029	-0.023430869	0.0035360379	5.085376262664795	-0.8781234622001648	1017157565	547151923	1017157565.562501
1193	2.3533023	-0.37969	1.3157312	816.97742	14.320064	1.6368419	0.28458932	-0.048052492	2.3183422088623047	3.1086647510528564	1023024691	137251019	1023024691.149879
1202	1.4353118	-0.025904646	0.51010679	1102.0584	9.2287251	2.96221	-0.14878855	-0.001175613	4.206488132476807	-1.1839340925216675	1007777190	268920779	1007777190.264008
1221	4.6909396	0.85164159	2.9452504	2562.4306	14.399013	3.1563405	0.58529516	0.19527469	3.889617443084717	-1.6567084789276123	1000770965	187470675	1000770965.175535
