simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
1	4.2620217	0.6847603	1.3204223	140.02363	1.2682218	1.2581743	-0.018844983	-0.069838414	1009476826.340861	1009476826	351013541
18	0.38610984	-1.2183755	1.0088656	496.46397	1.7492297	1.4540676	0.11190608	0.26704698	1014892577.311574	1014892577	294302464
42	2.7429147	-0.83090338	0.42219035	989.80854	3.082608	2.4165605	-0.52508936	0.1048572	1031129843.288573	1031129843	270183086
47	4.5625499	-0.0033924737	0.32873468	412.67993	1.8516165	1.5083028	-0.045129462	-0.025886032	1027784823.797459	1027784823	782459617
53	0.17145007	0.40632663	0.63911067	537.52385	2.8289796	2.2959632	-0.049950587	-0.038472221	1002087341.138163	1002087341	154832840
81	2.434501	-0.44445802	2.6385445	574.22181	1.8112135	1.6332641	-0.087191149	0.00040221917	1001128439.914368	1001128439	894866824
87	5.8493326	-0.054763019	2.7044718	553.23849	1.6567261	1.3470476	0.27282111	0.19615929	1018059206.183369	1018059206	165912390
113	1.7542944	-0.024825885	0.4115078	576.57186	2.2083346	1.3113654	-0.10802136	0.05491601	1013191337.069083	1013191337	52918077
116	4.6016685	-0.43314576	2.5337191	447.39437	2.0694276	1.8573067	0.05212075	0.012160157	1021736063.515317	1021736063	501402736
119	5.6967739	0.28608051	0.4561375	535.21112	1.6510845	1.3410921	0.0011300743	-0.0003500474	1012250754.750755	1012250754	768788338
121	5.7311327	0.79517612	0.80954091	280.79445	1.9218558	1.6012111	0.25124602	-0.34731872	1011973667.350764	1011973667	365812659
129	4.8158785	-0.38728304	2.9822675	541.54998	1.5015749	1.3842737	0.11517714	-0.18000745	1014594977.779788	1014594977	765577435
130	4.7244838	0.055420077	2.6755138	306.74301	2.0899743	1.2575588	0.23463483	-0.010298908	1019115986.79823	1019115986	810355186
150	4.7860584	0.68903642	0.77036909	357.5942	1.8381134	1.8129862	0.077693782	-0.23349617	1027044713.654565	1027044713	670532346
155	0.74084987	-0.15450337	2.4096784	279.15183	1.8192381	1.2674819	0.030905295	-0.12997927	1009003750.630194	1009003750	633914471
183	5.3942362	-0.75930781	1.1613845	94.326809	2.6456819	2.1891282	-0.17617287	0.044514575	1019348129.474003	1019348129	454129219
184	2.4581263	-1.4129542	2.079836	571.31178	2.6958239	1.576406	-0.20001014	-0.10128882	1013607252.474187	1013607252	451226711
189	3.0974585	-0.68239946	1.1365684	244.55174	2.4791503	2.0536204	0.078421786	-0.17639853	1011303961.82245	1011303961	804257751
190	4.9866342	-0.046079493	2.3925642	242.79128	2.7165207	1.4693943	0.15621813	-0.13396944	1005486343.25734	1005486343	256398320
192	0.54721239	1.3310304	2.8003542	741.95427	2.3953625	2.2427371	0.002587605	0.103642	1003738438.896945	1003738438	907295108
