simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_time	geocent_time_ns
36	1.277467	0.27687017	0.54791956	696.59693	7.1904832	1.7202059	-0.20118809	-0.03001367	1001213750.64312	1001213750	642399311
131	4.6044581	0.70640058	0.90060098	429.54784	4.4194901	1.9589428	-0.55881303	-0.074792773	1005043267.11837	1005043267	118790984
138	0.66535425	-0.12373146	2.818656	795.07103	8.6215017	3.2459015	0.48774238	-0.62675267	1006236364.251806	1006236364	261778712
141	4.6484458	0.3994863	0.98852277	322.64733	9.2531237	2.2073553	0.2636257	0.1862857	1008267304.941868	1008267304	960808992
160	6.0422185	-0.82245846	2.5673898	451.51975	8.5569587	1.4605981	0.011943591	0.062775962	1000314673.442195	1000314673	422108650
165	3.0608573	0.70943968	1.5734348	251.75559	7.6819916	1.4099737	-0.54731432	0.037760022	1005475624.706038	1005475624	720668554
219	4.2053399	1.2213858	2.4074759	1241.9991	35.071155	2.7356296	-0.063289317	-0.033648402	1031162293.583608	1031162293	599299669
224	2.8824834	-0.18194166	2.6717784	1031.3665	4.4742705	3.121586	0.59296255	0.014516439	1014232326.513437	1014232326	496415257
415	5.5770734	-0.87151446	2.4687739	264.51577	7.2378541	1.5816068	0.0068449983	-0.14945536	1018724359.215711	1018724359	202805758
446	5.4402539	0.50745755	2.3896553	508.20984	7.5844316	1.7438018	-0.18687161	-0.060729624	1029576318.542629	1029576318	554229736
507	4.8053837	-0.60578449	2.3679546	546.28736	18.829636	2.375123	0.13191057	0.040101279	1031191169.323429	1031191169	323757648
521	0.14458171	-0.56041997	0.754721	536.23751	7.9881334	2.7172349	0.31428219	0.13075086	1028335322.315397	1028335322	296566963
561	0.50655525	0.88773825	2.5876638	862.45855	11.164111	2.5425605	-0.13964445	-0.27278218	1018733658.255018	1018733658	272834539
658	3.9508437	0.98838672	0.36394465	1164.6996	10.602302	1.8216297	-0.097561253	0.085632641	1027732663.822172	1027732663	838198066
