simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
0	5.581021	-0.50267165	2.2354978	3382.9251	35.061935	34.344126	-0.33036603	-0.0076632668	1018499318.834137	1018499318	815312982
1	0.43188698	-0.55696732	0.50728767	1893.3092	44.357721	34.219035	0.017457798	-0.015936512	1022738187.093994	1022738187	73787928
2	1.4714451	-0.6398126	1.6305539	799.74446	22.164957	19.514237	0.19391438	0.076688886	1020762936.720109	1020762936	699226141
3	1.2704703	-0.82123797	2.2630268	2478.8717	34.918872	33.379747	-0.16654515	0.15854392	1012844585.902588	1012844585	883272767
4	3.1388802	-0.82096818	2.3758656	4838.6152	57.761789	43.922174	0.20111176	0.11670935	1014419723.331299	1014419723	310418248
5	0.69378189	-1.3281683	2.1264561	2166.268	57.713852	52.974511	0.21372471	-0.0021588684	1025208158.76767	1025208158	755741835
6	5.2884446	-0.3925152	2.7789984	1787.9602	15.810547	8.4432264	0.0094359428	0.5181772	1002025367.805663	1002025367	787309647
7	5.3848129	-1.4872694	0.39693982	4879.244	109.88714	83.251946	0.18290144	-0.45177332	1011795939.338309	1011795939	325389028
8	4.7482638	0.95330657	2.5572821	7095.956	73.228657	64.930067	0.87843616	0.74541401	1002492852.510833	1002492852	530009031
9	0.48716586	-0.62965263	2.3569845	2003.9239	55.670783	52.411881	0.11177986	-0.051377988	1008892865.50615	1008892865	509819269
10	3.6021614	0.70746652	2.6355427	1660.5091	11.483104	9.7269489	-0.18574953	0.30195316	1013356527.449877	1013356527	454400659
11	0.74010806	0.84076389	2.9093968	6465.8391	106.15106	24.224336	0.57018332	0.0044322367	1030190123.303033	1030190123	322396755
12	6.2678865	-0.47567179	2.7804448	8566.3613	71.279573	69.493123	0.0046516507	0.20277002	1013513897.024281	1013513897	7139683
13	3.3870832	0.83179312	0.58871141	1233.9733	8.65099	7.9962496	0.058716063	0.45526297	1024272915.658787	1024272915	677972674
