simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
39	2.4084685	0.086911397	0.26154381	296.42256	2.3524033	2.0449923	-0.1767555	-0.014443236	1026060430.654872	1026060430	666605115
47	2.434501	-0.44445802	2.6385445	512.32819	1.8709302	1.5844556	0.12146003	0.17324942	1001128439.914347	1001128439	894866824
61	4.9260559	0.77806619	2.7293805	548.67382	2.0140382	1.9691527	-0.21953715	-0.19908697	1003627478.906444	1003627478	925870895
85	4.6484458	0.3994863	0.98852277	202.2241	2.162526	1.6608185	-0.067177778	0.012920302	1008267304.940782	1008267304	960808992
99	0.74084987	-0.15450337	2.4096784	248.38971	1.5296106	1.4760985	0.30110241	-0.067942275	1009003750.626392	1009003750	633914471
100	6.0422185	-0.82245846	2.5673898	322.97238	2.0920431	1.6067648	0.045075312	0.1718562	1000314673.442261	1000314673	422108650
116	3.0974585	-0.68239946	1.1365684	214.08979	2.6993959	1.6709211	0.37668724	-0.05015348	1011303961.8245	1011303961	804257751
118	0.22181978	-1.0038999	1.7644685	353.37214	2.7121627	2.5585066	-0.38185006	0.1592998	1015152164.702627	1015152164	683887959
128	2.4400603	1.3253426	0.62853526	330.61691	2.1099369	1.4581967	0.0098702219	0.0047005946	1028999168.402447	1028999168	418889999
131	0.85922384	-0.91662939	2.0270559	176.01394	1.8034991	1.4037645	0.09718093	-0.049443146	1029903313.171134	1029903313	155454755
134	2.8824834	-0.18194166	2.6717784	642.38842	2.9108419	1.398045	-0.01222341	0.041867228	1014232326.514454	1014232326	496415257
135	1.2494087	-0.65017802	0.67286493	252.98103	1.6987914	1.4178988	-0.05664085	0.3000103	1001881688.424027	1001881688	405323625
146	2.9124411	-1.124759	2.0826885	266.22379	1.9860359	1.4187446	0.024371051	-0.0064244607	1013797580.247523	1013797580	229056597
159	3.2766243	0.17193163	2.2850471	329.61565	2.2138345	1.3745482	-0.10477087	0.15506444	1004899283.80429	1004899283	819711566
162	0.21553895	1.1719583	2.5816087	584.86725	2.3113812	1.7016935	-0.24750953	0.28812079	1019928499.434083	1019928499	452717304
165	4.8161088	-1.2955216	2.4875824	173.67524	2.085473	1.7862676	-0.075195322	-0.37772242	1027137101.978638	1027137101	967010975
169	2.6636977	-1.1281262	0.36931392	370.80389	1.6524845	1.3496192	-0.14952624	-0.10593118	1023903358.061279	1023903358	45019388
187	4.0165991	0.50657333	0.53762049	409.21088	2.8327512	2.2946444	0.9646218	-0.085915434	1009562493.690197	1009562493	707424879
195	3.4829313	0.59753761	2.9313987	283.49975	2.3357767	1.5615813	0.045634532	-0.059704558	1008333985.823242	1008333985	841132879
213	0.99768505	0.62898513	0.77175986	597.98916	2.9660422	2.7307576	0.057743466	-0.27222052	1025624227.935611	1025624227	956337810
230	2.3545364	0.95296988	0.51816305	264.61332	2.238126	2.2124294	0.30355054	-0.015296327	1017356893.345825	1017356893	361666560
235	4.0064508	0.55932509	2.438276	285.24977	1.6721379	1.5756188	-0.23725997	0.095855491	1015085224.532001	1015085224	543776035
257	4.9323555	0.67865002	0.48871369	431.68682	2.4819136	2.3575962	0.0039534624	0.17760244	1010865638.232948	1010865638	251975536
258	3.1695342	-0.29969188	0.27127156	152.95628	1.4802995	1.2294189	-0.041405583	0.13460349	1001846157.127632	1001846157	116204023
261	0.88703221	0.43816993	0.75797817	360.4261	2.9099075	1.4063194	0.5953834	0.040575161	1005713737.981328	1005713738	929236
262	0.46859683	-1.0962544	0.7662463	341.15779	2.4077816	2.2011684	0.076337993	0.084271528	1006955455.876245	1006955455	858324885
264	1.3120584	0.72438008	0.2287892	653.53713	2.1798151	1.5452847	0.043399335	0.20968718	1021575645.435898	1021575645	456230521
274	2.7591152	-0.52819453	0.71783405	638.17545	2.1422764	1.4653139	-0.19045806	-0.0097528814	1009142532.333053	1009142532	313266397
285	4.3071662	-0.71540193	1.8330854	165.53611	2.2172886	1.6683771	0.02043206	-0.10226046	1021657152.567122	1021657152	547188163
289	4.5719603	0.18239625	2.7323827	429.49705	1.5566183	1.5470729	-0.31360687	-0.15998377	1018098758.97821	1018098758	993567467
303	5.6560177	1.3021828	0.78530953	176.66615	1.9804417	1.5728659	0.2707035	-0.060058563	1006460162.6915	1006460162	706528068
307	0.14458171	-0.56041997	0.754721	303.02506	1.9076749	1.6439673	-0.11368209	0.15386307	1028335322.315329	1028335322	296566963
345	4.630322	-0.66546776	1.1815231	94.301663	1.6282926	1.6212021	0.075668913	0.12047067	1021165267.996704	1021165267	986041784
351	4.1477615	-1.2366053	1.637941	248.49674	2.1026083	1.5681136	-0.056483404	0.049974818	1001151612.388829	1001151612	371020794
355	4.4693603	0.0060227824	0.36704139	202.03972	1.5843809	1.4244318	0.18927654	-0.090622781	1022926317.589253	1022926317	600434065
377	4.4465907	-0.52462484	2.1040702	190.68354	1.8606256	1.4156025	-0.0504004	-0.081965789	1003666963.325562	1003666963	306642175
389	0.99306268	0.41354738	2.9388185	243.13645	2.015147	1.7036839	0.19490606	-0.14173002	1005275718.529561	1005275718	544019580
400	1.7323155	1.0728166	3.054899	431.62684	2.0820212	2.052342	0.10798344	0.10094105	1017697690.732591	1017697690	749911070
405	4.2724915	-0.017139	2.6923134	383.74666	2.5524328	1.8953611	0.042788597	0.16971825	1027474022.044869	1027474022	59976578
432	5.4538014	-0.30145734	2.721945	137.42789	1.9553038	1.598768	0.046137355	-0.16938842	1007673342.860759	1007673342	872622013
450	2.0915601	-0.89701621	2.199447	155.25853	1.7614147	1.6404046	0.028147745	-0.15283329	1001240094.694215	1001240094	688684344
456	0.5546788	-0.48953438	2.3696974	132.68662	1.7374422	1.3045142	0.0041980532	0.079679151	1030929201.255943	1030929201	239812613
459	4.6751256	-0.40271448	0.50498561	176.20215	1.8491477	1.7753543	-0.028964498	-0.27243936	1000138525.025879	1000138525	12869239
489	4.4001293	-0.38535585	0.88241491	260.46101	2.1352389	1.6083205	0.11828332	0.10776499	1030461641.980729	1030461641	964086294
495	2.633147	0.12413204	2.5605413	72.52063	1.8246917	1.684224	-0.036481091	-0.17398742	1016801833.12033	1016801833	109465599
513	4.0460273	-0.26323312	2.8238311	265.95935	2.4079287	2.065	-0.017078719	0.024245777	1028619881.193603	1028619881	183913112
556	3.6291712	0.83921097	0.81131886	166.41611	2.0474886	1.8504444	0.29355336	0.063688845	1012221770.652879	1012221770	673201919
566	0.81032889	0.1318375	0.3971431	382.2934	2.3789954	2.2470437	0.14204418	-0.046473611	1018418134.077616	1018418134	66051126
572	2.6894911	0.64489384	2.4759768	214.66787	2.5766225	1.8802561	0.1225053	-0.26032008	1001619359.824951	1001619359	843978643
573	1.0336457	0.57272927	0.94861214	260.56681	2.5586422	2.2491581	0.1721614	-0.12216629	1023705945.196561	1023705945	202051163
579	1.2790212	0.62251984	0.92001559	182.0584	1.4821264	1.4106323	0.076337675	0.01233029	1017014103.188749	1017014103	209239721
583	0.57647477	0.97924433	0.93557624	187.28647	1.572348	1.3129117	-0.27479791	-0.013484946	1016059517.849017	1016059517	868167639
586	4.7685348	-1.0641022	2.4175315	233.07082	1.8058418	1.7939855	0.13427727	0.14779776	1001308160.951988	1001308160	942767382
607	6.002164	1.1587567	2.9590777	225.77487	2.1886457	1.3641882	0.026611629	-0.37733561	1009211025.329169	1009211025	339513540
608	5.4467005	-0.075694838	0.47992033	541.25691	2.0764647	2.0147871	-0.26946672	0.059200065	1001429728.794149	1001429728	777441978
616	3.9089746	-0.66672438	0.77339487	280.52702	1.775885	1.2870527	0.16567165	-0.094401831	1003056426.81665	1003056426	801715136
628	6.1793294	-1.0586067	1.6060316	158.95027	2.4462075	1.4069027	0.10008383	0.052032248	1026164920.060547	1026164920	41271806
641	1.945415	-0.22953921	1.071389	154.46866	1.5404923	1.2508271	0.10990396	-0.0070132092	1015027185.660748	1015027185	668955922
666	4.2005184	0.74689065	2.7490041	331.92479	2.4707559	1.6871455	0.058156359	-0.077223959	1018519728.500136	1018519728	520356059
667	4.6103201	-0.72769659	2.986707	105.44997	2.1172741	1.3449547	0.13615983	0.18649239	1027498489.84962	1027498489	846757889
672	2.1539093	0.46768821	2.6642966	271.02055	1.7917279	1.6893358	0.085326927	0.1055895	1003472637.972543	1003472637	975765705
674	1.9395558	0.21499679	0.35565294	828.40766	2.8501212	1.8399985	0.021020075	0.20504273	1011415102.056068	1011415102	74003935
686	6.0604071	-0.47755148	0.2346249	314.45856	1.8172167	1.7684457	0.0009363946	0.15792696	1013234487.319946	1013234487	304788589
689	2.1872728	0.64439642	2.3635282	270.94261	1.6639686	1.4741776	0.045166061	-0.26277196	1026762868.521118	1026762868	542015314
701	2.2299417	0.66770611	0.65318393	464.68236	2.5479334	1.3779478	0.22379784	-0.11050262	1017194552.346009	1017194552	366257787
718	4.4922154	-0.030404009	0.31188722	384.18731	2.1356376	2.04481	-0.16730896	0.019378521	1030665400.71627	1030665400	731641769
725	5.3197008	0.44987752	1.3553502	148.25284	2.3993904	1.8645662	0.0663189	-0.089892777	1025428017.150513	1025428017	170235872
748	2.7528749	0.22949971	0.80241344	458.07706	2.8066868	1.909754	0.21870034	0.044507381	1028909410.268436	1028909410	273586988
767	3.7892828	0.79142853	2.0095681	568.69015	2.1983039	1.5168323	-0.042964983	0.21509245	1016015776.796532	1016015776	816635847
775	4.1521491	0.78223604	2.5512574	407.38584	2.7100275	1.8151372	-0.18127393	-0.24788615	1017411864.919665	1017411864	935262442
781	4.6767594	-0.55385234	2.2643729	165.43395	1.3361079	1.3215358	-0.026658968	0.039451194	1028053246.016479	1028053246	321388
782	1.0604796	-0.73797748	0.52439052	430.74802	1.832567	1.524651	-0.24306023	0.019187084	1001030826.342308	1001030826	322240353
790	5.7863903	0.85619391	2.0043294	242.48207	2.5510334	1.8960097	0.017934765	0.037752775	1025523646.062387	1025523646	81713200
817	0.22449393	-1.0617218	1.7159071	151.9588	1.8224966	1.7276702	0.089548815	0.11654343	1030145907.824399	1030145907	805175662
833	5.0307377	0.2230838	2.6239343	140.6041	2.6884676	1.7664393	-0.12964514	-0.1413006	1000491950.012451	1000491950	10335565
841	3.3970638	-1.1646312	0.70779116	601.49661	3.1226908	2.6583707	-0.1890382	-0.020045107	1022420132.727036	1022420132	709604383
846	1.5994318	-1.4123761	1.31975	119.18248	2.5397857	2.2538771	0.058162317	-0.019328683	1027263266.211304	1027263266	197885990
891	0.83288314	0.46881203	0.89334737	290.1779	1.7323744	1.6470639	-0.012690596	0.068559775	1027680463.230745	1027680463	246533394
900	5.065992	0.1265409	2.3061831	152.44835	1.9798066	1.9221952	0.1933166	-0.16501534	1030381348.884187	1030381348	870916843
908	5.7062019	1.1148787	0.41496866	539.31069	2.9443424	1.3471191	-0.15940783	0.091776246	1005265025.75844	1005265025	776481986
929	3.758324	1.1568703	2.7428007	317.34816	1.8732167	1.6733543	0.021010731	0.35129116	1003698543.961706	1003698543	979425669
940	0.77556934	-0.31091208	2.7428101	187.78851	1.8471484	1.6709725	0.094035461	-0.13247444	1011891115.065918	1011891115	50224662
965	0.58040416	0.66729765	1.0341158	101.06073	2.6977477	1.6149579	-0.71745171	-0.13792754	1000375814.245708	1000375814	266087890
968	2.7286697	-0.97552121	0.41201036	555.71641	1.6912056	1.6304317	0.061259754	-0.043949116	1008621983.215485	1008621983	197147369
978	3.5179004	-0.86875363	1.3592922	102.57748	2.0384265	1.9633142	-0.021833092	0.06383039	1019966514.499092	1019966514	498784065
999	1.2644251	-0.42840623	1.2632257	140.60587	1.578269	1.2186665	-0.27078904	0.068578426	1014736307.977173	1014736307	958240986
1010	4.4500924	-0.04560966	2.4702528	148.88658	1.981915	1.3728358	0.014518936	-0.055068166	1016715276.676283	1016715276	690958381
1018	0.90988734	0.49588566	0.53688078	349.54032	2.5102436	2.5078192	-0.077058311	-0.024515441	1016475726.188974	1016475726	202579975
1021	0.99848835	-0.11539904	2.6879434	158.12545	2.1717148	1.57953	0.046027209	0.11097388	1007879141.243159	1007879141	256785393
1029	5.1658515	-0.24562761	2.5947727	360.56273	1.8089837	1.5968747	-0.11623559	-0.13125578	1019270788.729104	1019270788	713151217
1031	4.8171439	-0.37674425	1.9002952	209.82694	1.7063083	1.5443712	0.21977274	-0.11881715	1001762136.843518	1001762136	823852539
1038	6.0834856	0.95313662	2.3782441	162.60963	1.7135896	1.5296616	0.047015109	-0.02561166	1022625868.960815	1022625868	959961653
1042	4.376446	-0.62188858	0.65351432	174.11338	1.9188639	1.4159413	0.013926003	-0.13014172	1023048386.76982	1023048386	750185728
1045	3.807421	0.46045812	0.60916471	324.66531	2.4660877	1.9700719	-0.18405539	0.078384914	1023164198.333252	1023164198	354133248
1049	3.3011302	0.28963618	2.3779097	494.68815	2.7843545	2.5640908	-0.29086227	-0.054428257	1004201347.478215	1004201347	497615695
1082	3.2754892	-0.34669199	2.4275796	262.78325	1.8807566	1.589026	-0.17840755	0.15605511	1024844747.447068	1024844747	429941058
1084	4.0396711	0.38596362	2.5912285	294.4741	1.7881965	1.7231846	0.060878912	0.036235146	1009590566.399681	1009590566	389808297
1099	5.8080962	1.528154	1.7472364	206.95378	2.0707529	2.0374736	0.01280482	-0.022496801	1014581051.757241	1014581051	771128654
1126	5.8859188	0.80906193	0.56578982	578.38912	2.5607044	2.3183761	-0.053353611	-0.10880719	1025174318.905063	1025174318	925518751
1127	3.5805459	0.99729466	2.4920764	284.81884	1.9868699	1.5605621	0.17013226	-0.27958504	1030854176.815595	1030854176	825765848
1134	2.0467384	-1.0602213	0.33669991	660.11955	2.9009676	2.4902431	-0.53414272	0.0039150345	1013876837.079834	1013876837	59569955
1147	3.1177307	-0.57685072	2.5878992	244.1304	1.6125702	1.2288819	0.1695742	-0.18591934	1014224936.771973	1014224936	754084229
1160	0.4658856	0.90724728	2.3914575	140.26957	1.7463411	1.1812831	-0.18561268	-0.12404349	1031209130.98645	1031209131	4055262
1166	0.64420024	-1.5244386	2.9758532	329.45803	1.7175231	1.451622	-0.26051878	-0.22443531	1018567761.648762	1018567761	635258198
1172	1.8025028	-0.89318923	2.9398608	355.46211	2.2197481	1.316864	0.26509434	-0.18306632	1000945279.504028	1000945279	484087586
1191	4.9440559	0.4746064	0.22828399	495.21737	2.5194573	1.853297	-0.074059155	0.022221366	1020237069.877232	1020237069	891788244
1229	5.61631	-1.192346	0.82060627	179.90127	2.2081742	1.6054493	0.025695644	0.00086777002	1007819152.696899	1007819152	683076978
1258	5.6366846	0.042518473	1.000613	302.72024	1.9720457	1.4500876	-0.1720013	0.0047095327	1010268023.057996	1010268023	73593736
1259	4.1503919	-0.26986597	2.7430002	295.15077	2.0773313	1.609574	-0.016760993	0.25137504	1017354723.760498	1017354723	740908742
1262	3.8486287	0.85470702	0.71674289	152.49984	2.5734003	1.2612884	-0.14758266	0.1083829	1026603215.790967	1026603215	809580922
1279	5.0245689	0.41500095	2.3264252	402.80516	2.4295818	1.8311827	-0.023255217	0.0062446288	1018003438.533651	1018003438	552289844
1324	1.3761451	0.85463459	0.53580575	269.53986	1.8476413	1.8341546	-0.0036700234	-0.082432258	1009281076.519975	1009281076	530851722
1346	4.3284344	0.89201628	2.2505998	176.77253	1.4786703	1.364083	-0.023344592	0.093553705	1022648931.381104	1022648931	400682330
1348	4.2661523	-0.53926795	2.4802936	148.2538	2.5482303	1.4783163	0.0040248176	0.045794477	1019719456.508856	1019719456	515100598
1352	5.0321666	0.4328882	2.4528294	528.0916	2.2563619	1.6591684	0.16544523	-0.026065335	1018357281.004285	1018357281	24063230
1408	2.8051296	-0.50559892	2.8109542	315.75419	1.627123	1.5634205	-0.27235438	0.052722045	1018082900.253299	1018082900	252877235
1444	0.92100623	0.75430823	2.60021	308.05933	1.8835619	1.4044136	0.040235828	-0.31505387	1030521173.591109	1030521173	606016159
1453	5.9653052	0.25637529	2.5011663	496.8223	2.9365497	2.309572	-0.3656796	0.08946706	1020173328.052922	1020173328	71137309
1471	1.8455855	-0.028277058	0.81085298	233.5043	2.4195232	2.0145871	-0.0086782594	0.013024542	1019644380.575464	1019644380	558511138
1489	4.4044507	-1.2438625	2.5430356	289.8475	1.7004313	1.5520723	0.039667519	-0.017065368	1023754555.492286	1023754555	479716897
1496	1.4294651	0.25793589	2.053627	224.42985	2.0532572	1.9641573	-0.015001137	-0.12127248	1003475146.143766	1003475146	159729958
1500	1.0310745	0.63986894	1.3920111	158.61015	2.091809	1.9371934	0.32915118	-0.20887301	1007743456.56476	1007743456	560608149
1515	3.2863088	-0.34478848	1.5442047	78.934072	1.3809829	1.2618378	-0.14206212	0.2147158	1020882794.59082	1020882794	572760820
1520	6.1292682	-0.90328058	0.72783913	252.84243	2.1695517	1.9498088	-0.14190334	-0.19709352	1012482924.672354	1012482924	656061292
1530	5.1968776	-0.22540764	0.24563981	657.31378	3.0415803	2.877362	0.21755509	0.83797546	1020336029.291911	1020336029	304441333
1540	0.75930473	0.35246945	1.5660027	263.98298	1.9620178	1.847244	-0.027634843	-0.32394468	1012263781.411806	1012263781	432099700
1566	1.7447704	-0.41843567	0.30795067	282.39137	1.7236362	1.7174342	-0.2738809	-0.087096289	1016387123.79112	1016387123	777667284
1568	5.4041327	-0.86218028	0.52020889	125.77002	1.8505834	1.3223564	0.07498127	-0.045034862	1010823682.013049	1010823681	992724776
1579	0.39208632	-0.99398191	2.495617	457.82313	1.5331252	1.3711739	-0.19647035	0.075728429	1011963687.067288	1011963687	47577739
1596	4.0660346	0.10069731	2.8577433	227.90536	2.520081	1.4897199	0.078409432	-0.28570459	1016827500.831421	1016827500	815238595
1604	5.3228234	0.67139464	2.7021918	613.28749	2.9387738	2.4366797	0.38877319	-0.027367717	1004908192.621837	1004908192	639475942
1608	6.0821678	-0.1375673	2.3895377	126.86575	2.1788635	1.8732531	0.023494761	-0.0071173864	1029328076.087036	1029328076	95200419
1612	0.20268209	-0.88420376	2.3968648	449.14741	1.9573058	1.8835683	0.19603773	-0.13063992	1023503489.423628	1023503489	403301120
1658	3.0420788	0.29835246	0.1433039	381.95924	2.7655942	1.9432535	-0.40288008	-0.21110645	1005895037.522131	1005895037	521417618
1659	4.3328473	-0.53621259	0.47016833	673.63316	2.7874158	2.2818497	-0.054946239	-5.772426e-05	1007610295.057927	1007610295	38465381
1665	2.1407466	1.4010827	2.3197823	272.4127	2.1229273	2.0519112	0.010167434	-0.087480472	1011075066.462524	1011075066	479844213
1667	0.90343163	-1.0784388	2.0266412	298.83432	1.8350377	1.8147405	0.014876169	0.0079120077	1024887561.675712	1024887561	656779885
1684	4.9531116	-0.10480623	2.1512407	272.6426	2.793897	1.7497346	0.49686373	0.11896728	1017887068.447495	1017887068	431746244
1688	5.7820782	-1.2872446	2.4579535	397.05338	2.3156292	1.8750768	-0.0072063906	0.091516857	1029537730.772949	1029537730	755284548
1721	3.8158105	0.067201117	2.900882	397.77408	1.5639156	1.5124528	-0.013593935	-0.14064702	1010164607.467927	1010164607	480359435
1728	1.4001808	0.6716376	2.0817718	284.93459	2.6579568	2.0730498	0.02793165	0.0031807232	1030635137.701317	1030635137	720194340
1743	1.7329899	-0.87362157	0.8543684	208.7795	1.4766028	1.1835051	0.14372184	-0.24885024	1028246962.683831	1028246962	669765711
1762	5.3483157	0.021728665	2.5367324	214.3531	1.9027589	1.4287941	-0.034934893	-0.057369231	1001915379.610564	1001915379	620558977
1774	2.3139156	-0.42454032	2.4823763	411.9753	2.7346115	1.5662873	0.040206636	0.034486507	1016293696.430853	1016293696	410470366
1785	5.0200071	-0.73069027	2.3464154	156.57729	2.5774728	2.12537	0.24632093	-0.068188471	1010410038.671631	1010410038	660855412
1786	6.2174784	0.68551425	0.077317561	645.76642	2.7378214	2.3832294	0.21491209	-0.073115814	1008629289.498657	1008629289	518981576
1825	5.6218918	-0.72773425	0.30783918	652.55591	2.693076	2.0765027	-0.061723745	-0.011609183	1018913284.251074	1018913284	233483434
1826	0.72449459	-1.1197404	2.4745977	376.74445	2.8565305	2.2670304	-0.26468513	0.037445152	1012563795.03125	1012563795	11807919
1831	0.94175251	-1.0776055	2.5909721	501.784	2.0817969	1.7429445	-0.065332901	0.18641019	1030575518.81077	1030575518	791857481
1833	4.8453858	0.8303618	0.50073082	421.5467	2.764638	2.7490759	0.19868454	0.033719328	1006123482.325928	1006123482	347047448
1866	5.6781295	-0.61783497	2.432043	119.74182	1.7665215	1.2308062	0.034754618	-0.039870652	1001593304.739258	1001593304	726042509
1877	1.1479004	0.20274052	0.46611601	406.80968	1.9606673	1.564114	-0.29928463	0.16660872	1020544685.243876	1020544685	262354612
1887	4.0865299	-0.18593273	2.3730825	263.4203	2.8457448	1.2584963	-0.82506805	-0.22882796	1026847692.873635	1026847692	864836454
1899	4.296858	1.0455879	1.3084733	273.74341	2.0107051	1.3243601	0.30014107	0.04936329	1009122933.831734	1009122933	850725651
1900	0.3603589	0.23690539	2.2797495	59.246329	2.4102906	2.2780139	-0.039522979	-0.093243413	1001371124.057617	1001371124	48694849
1906	4.5585745	0.072845463	0.54674102	346.9797	1.7009956	1.6347924	-0.023408236	-0.0030970927	1023086873.325483	1023086873	342409253
1907	4.226712	-0.10512352	0.89222305	115.10152	1.2558445	1.166308	0.051700429	0.053937374	1016632635.506947	1016632635	516769171
1919	1.7200887	0.42122924	2.6445701	421.69804	1.5578761	1.4003964	-0.0524553	-0.10359817	1024432654.428712	1024432654	448005199
1931	2.110974	-0.3606824	0.65702184	264.70659	2.0389948	1.9374482	0.28455732	0.12245748	1013513632.603581	1013513632	597996712
1937	3.4999306	-0.58717061	2.4863021	273.50594	1.9621134	1.3561506	-0.038746736	0.043973454	1007869612.008423	1007869611	987598300
1951	1.999405	-1.1511067	0.67521684	355.11877	1.5569989	1.2208347	0.069878291	0.00090372896	1027913518.606167	1027913518	589025140
1960	5.0979256	0.68267848	0.50936063	241.58423	1.6678538	1.4360591	0.25192976	0.065883492	1028624822.891113	1028624822	908997416
1970	4.1110091	0.28205368	2.984701	323.40102	2.0021737	1.5326623	0.052805264	-0.010269924	1020834847.208238	1020834847	226077914
2000	2.0872232	0.071357949	2.8794485	345.42491	1.5365324	1.514834	0.021840234	0.0037078686	1023742075.47239	1023742075	489475250
2005	1.1213028	-0.87968434	2.7309938	251.48433	2.8770559	2.7203815	0.16980401	0.060096369	1020582586.449707	1020582586	429774284
2025	3.9801213	-0.99151438	2.1973362	145.6053	1.5326857	1.359185	0.11279505	0.074982242	1009840082.392334	1009840082	376423359
2036	5.5327467	0.090660944	2.8739402	419.23168	1.981891	1.5116862	0.049282454	-0.14310654	1021475291.100674	1021475291	113451362
2052	6.0483553	0.46803034	2.8553769	373.67793	2.8408878	1.5726631	-0.57665503	-0.035796171	1006746258.163696	1006746258	182980537
2054	5.8873758	0.76013408	1.1296629	114.28063	1.3672284	1.3489129	0.031883305	0.2424112	1015965122.773804	1015965122	788879514
2064	0.39731516	0.32092738	1.353421	242.58543	2.7135008	2.2571052	0.062480165	-0.06937547	1011748556.674904	1011748556	693442702
2066	0.11159166	1.0737754	0.85038233	377.59634	2.7654627	2.1375358	-0.30576995	0.0060670519	1004337959.926613	1004337959	944921970
2067	4.7559345	0.093280147	0.098542035	502.12978	2.0398752	1.5386612	-0.10268937	0.21030457	1022838834.491296	1022838834	507506609
2072	3.1523261	0.33925665	1.9890369	263.47668	2.5316062	2.3460851	0.295917	0.14957896	1025090404.024845	1025090404	13753176
2112	0.12277808	1.1522171	2.2824307	326.46695	2.0067422	1.8036195	0.060757292	0.10585525	1009701040.680925	1009701040	689947128
2119	3.8925258	0.57274759	0.73167692	582.85963	2.5811949	2.0558397	-0.044110287	0.016519079	1011443021.265672	1011443021	285257459
2172	5.2875358	0.091639686	2.6791434	321.67175	2.12307	1.3151709	0.0053082187	-0.073799828	1029000934.190579	1029000934	175636768
2174	5.9953196	1.1477781	1.8667036	178.71395	2.0167758	1.244706	-0.18946094	-0.094066897	1020590822.133545	1020590822	146960139
2177	4.7658221	0.90961017	0.86144146	122.75664	2.0294289	1.7612074	0.1186915	-0.064064009	1014968910.590768	1014968910	599863052
2180	3.2630706	0.53286011	2.0315102	136.06116	1.8218517	1.6287786	0.084127813	-0.016360627	1003507251.890015	1003507251	908306599
2186	6.1378655	-0.66689946	0.90147045	449.71578	2.4868188	1.6627806	0.10968149	-0.074055377	1000581154.734155	1000581154	713124275
2194	1.7061291	0.16231165	0.8685675	292.40518	2.7356948	2.3236883	0.15636934	0.1129426	1018948666.751677	1018948666	738969088
2195	1.3637744	-0.39944072	0.29070263	323.23054	2.4223749	1.5686542	0.081902147	0.003166871	1018434246.63532	1018434246	615546107
2197	3.1259537	-0.72964632	2.4426045	235.02418	2.1724749	1.9447661	0.0048863817	-0.0017633292	1014916515.202421	1014916515	184146047
2219	0.80982434	0.12011835	0.49566862	221.49985	2.7151596	2.0762205	-0.069133062	0.086178005	1023502405.559082	1023502405	551900744
