simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_end_time	geocent_end_time_ns
29	5.6884721	0.11746066	2.4076972	765.09446	8.3713815	2.4992445	0.8120648	0.24682594	1006205723.900896	1006205723	915795922
139	2.3893545	-0.25865662	0.63523167	1133.4312	9.7062532	2.9992763	0.47732075	0.10414571	1005607761.86671	1005607761	847602844
155	1.9447457	-0.49472089	2.5847512	77.631995	16.753418	2.6403828	-0.023089048	0.62004196	1022769384.184788	1022769384	172374606
324	4.1969572	-0.084871531	2.5094271	450.68363	11.438912	1.5046066	0.045472875	0.36411724	1007149846.864398	1007149846	876302481
414	5.0504573	0.92882725	0.17802614	234.90757	17.179554	1.458303	-0.5513732	-0.1920094	1018865718.924598	1018865718	943194747
424	3.6338678	-0.53606121	1.3994734	325.01138	10.848752	2.5456046	0.001271505	-0.3118062	1004435681.685005	1004435681	669885039
472	6.0799118	-0.28348083	0.21943161	462.4613	9.7319171	1.3956539	0.19013636	0.079823723	1013597432.430836	1013597432	414562702
523	2.0066968	0.46403191	0.4968426	506.23265	6.7193902	2.9271363	-0.031127075	0.12818778	1003571107.490052	1003571107	507750392
524	3.5356912	0.91239219	2.6975261	1512.8589	25.336515	2.9755913	0.10526891	0.17257256	1009550536.692875	1009550536	712878466
533	1.1483366	0.65592033	2.6746674	949.27688	8.2278549	1.8775137	0.06504596	0.12810929	1018725341.484603	1018725341	503397346
534	2.3823751	0.4575622	2.9404342	151.63362	7.8983087	1.7114736	-0.5825991	-0.032872492	1022636617.350464	1022636617	365930200
663	5.8350669	-0.18353019	2.6732591	661.71397	9.5936073	2.4014304	0.25174061	-0.041680469	1017641548.308936	1017641548	292726159
753	2.7785913	0.097516581	2.8107844	526.82743	8.4637081	2.705492	-0.091825947	-0.072535213	1005892599.22333	1005892599	219850540
764	2.7781862	0.52454569	3.0706906	1027.1089	18.471107	3.1250739	-0.070954668	0.052728598	1022794720.583984	1022794720	602401733
766	5.3723851	-0.05485666	0.74116606	397.34291	10.099541	2.2622819	-0.35801536	0.25173689	1026746312.190552	1026746312	179706931
802	4.7608238	0.42780669	0.97456285	475.23862	3.5472845	2.2345255	-0.003289894	-0.01539724	1026264532.211546	1026264532	224388599
857	5.52101	0.74576328	0.84950818	346.4987	9.7662192	2.3576985	0.1408742	0.19368033	1001980770.991002	1001980771	8471370
907	6.1656293	0.11676505	2.9414995	442.01762	7.5630455	2.2293574	-0.41246404	0.15052833	1025100856.793493	1025100856	808237314
935	2.6244984	0.8982533	3.0191111	1441.3397	12.316938	2.5936448	0.066224046	-0.32915315	1009193522.268781	1009193522	288999677
1037	3.2151128	-0.3474489	0.95898053	727.88962	11.577942	2.0018231	0.15572576	-0.027004285	1026307835.095474	1026307835	77175021
1057	5.4781417	-0.70068447	0.69998634	490.0784	9.5668561	2.8854493	-0.29612935	-0.34880279	1003921424.660996	1003921424	642439008
1079	5.6225414	-0.45882869	2.520237	1127.4484	12.882573	3.2857648	0.21814871	0.10712824	1004008931.873779	1004008931	855524659
1171	5.1467037	-1.137863	0.95783784	561.45188	8.6829338	1.9724324	-0.26874438	0.24672721	1013078402.623708	1013078402	610899210
1210	0.98042391	0.78470642	1.0288632	442.60043	10.471779	2.8986981	-0.41178399	-0.039962566	1007018716.747437	1007018716	768333793
1241	1.9435836	0.532535	2.9811649	182.82055	9.6126088	1.8338451	0.058667453	0.00088780957	1006803757.299274	1006803757	293229699
1287	5.1681034	-0.38011901	2.5895066	233.49139	6.7776269	2.380692	0.85642288	-0.20202313	1004140745.794678	1004140745	807139874
1292	1.758635	0.24207617	0.55150093	879.2992	15.343953	1.8278855	-0.57092138	0.25064517	1011414223.870136	1011414223	887211680
1367	0.28269089	0.66756321	2.8275884	402.80206	7.3631348	1.7713267	0.62723027	-0.0090499235	1027936749.673017	1027936749	692999959
1380	2.7886657	-0.57052756	0.75811146	498.82053	8.2300178	1.6600943	-0.61782023	0.075197801	1001653339.318177	1001653339	297891855
1448	5.7227539	-0.12869128	2.6105816	177.51499	6.614968	1.5369772	-0.0033418875	0.21435953	1011360761.159754	1011360761	151767850
1486	4.6605849	-1.2968143	0.71012957	340.31639	4.3814173	1.8630288	0.062397855	-0.041363809	1011601936.077785	1011601936	62849760
1544	1.5383272	0.66095415	0.31268987	459.611	12.946718	2.428705	-0.56230062	-0.0011957375	1018842571.091419	1018842571	104997158
1550	0.88071199	0.69373723	0.75571341	113.08338	14.722336	2.0192979	0.2079355	-0.0010934699	1006215037.411499	1006215037	418568134
1585	3.9623529	0.48022642	2.5389474	788.36251	9.3396709	3.054376	0.0087915626	-0.20265682	1025408938.306641	1025408938	326565504
1638	6.2735131	-0.64370414	0.57204269	720.47181	6.9636042	2.8666998	0.0014216843	0.0086640011	1029855859.90989	1029855859	901249528
