simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	gps_time	geocent_time	geocent_time_ns
0	4.9727176	-0.79564713	0.521194	1308.1913	52.564474	11.776622	0.14008404	0.70520942	1023182320.329921	1023182320	323482275
2	4.2620217	0.6847603	1.3204223	372.19962	24.136324	22.027735	0.0062893102	0.23658295	1009476826.331903	1009476826	351013541
3	5.4586313	0.92615938	2.6038957	5771.5822	29.638915	27.690418	-0.21533004	0.12243956	1011163018.843189	1011163018	849212050
4	5.0335877	0.065539579	1.1960704	2187.9222	30.391425	28.996589	-0.29828542	-0.2469834	1024694272.132227	1024694272	126142025
5	2.4494884	0.67171123	3.0420277	7146.6866	17.758259	12.38945	0.1797262	-0.13364073	1003766881.866853	1003766881	878077745
6	2.2203457	0.25730005	0.61935401	13369.162	119.96638	119.39378	0.083514559	-0.32982722	1001604194.086041	1001604194	103654623
7	2.0473784	0.34121813	2.3151222	2644.5428	16.812471	10.780921	0.33972125	0.50135576	1030900149.249966	1030900149	265513182
8	3.5144645	-0.29861814	0.24339957	4494.7223	25.431688	19.850312	0.14165388	0.64510714	1006141145.583672	1006141145	566006541
9	4.2853075	-0.49214661	0.10554862	12835.182	101.55616	73.345584	0.5308746	-0.41026215	1007298221.225977	1007298221	215863228
10	3.9518699	1.0055623	2.035929	1288.5986	20.623857	18.111001	-0.06123096	0.38851009	1002958497.829263	1002958497	834926605
11	1.2317768	0.85497565	0.60765049	8282.3308	37.313616	34.815589	0.17050293	0.28203235	1019866506.988677	1019866507	6599307
12	0.3291913	0.95800183	0.29204046	3448.4855	46.309749	12.581979	-0.050413555	-0.36257306	1022805786.838573	1022805786	847397923
14	0.12668985	-0.51331751	2.4806629	7599.6628	74.41796	48.427445	0.5120006	0.10342683	1002292033.199022	1002292033	191668510
15	4.3389348	-1.3110199	0.67783331	5113.1397	30.937854	30.650547	0.56011279	-0.066063557	1013160303.681546	1013160303	670194387
16	1.0550665	1.0971147	0.39935843	10029.477	39.554569	33.501797	-0.217241	0.12375095	1001680474.694806	1001680474	714180708
17	2.3650673	-0.8619666	2.1812584	717.30926	54.506061	40.662288	0.085868917	-0.16882678	1003907879.21167	1003907879	209898114
19	4.0224594	-0.74780504	2.1128965	2928.5237	14.759252	14.555146	0.1873265	-0.0020919441	1007882643.99657	1007882643	983983040
20	5.6323859	0.4544348	0.96918907	4148.0504	38.696984	23.463622	0.54769989	-0.1998834	1014735438.303426	1014735438	321279645
21	1.6909189	0.25071427	1.404714	1935.9858	17.015105	13.135779	-0.051169266	0.25003357	1023437069.889468	1023437069	877068162
22	6.1275014	0.8693476	1.8171581	1002.2209	35.713634	27.064049	-0.73863601	0.34612291	1026126372.467426	1026126372	486603618
23	0.38610984	-1.2183755	1.0088656	1299.5078	21.405	9.8450376	-0.34643494	0.0099867588	1014892577.310631	1014892577	294302464
25	2.9234847	-0.61424613	0.54283478	2149.6892	11.745854	11.198016	0.0017543642	0.08101716	1003888527.050218	1003888527	30696511
27	5.9947987	0.58448203	2.421729	1826.3136	10.016443	9.9867195	-0.14717144	0.72000066	1006227573.358541	1006227573	377200127
29	4.0087237	-0.13747256	0.6287863	13515.591	81.073721	64.235902	-0.020286747	0.036779467	1010035450.769445	1010035450	756711245
30	5.0176935	0.81225317	0.92649324	3728.1549	33.636061	23.438001	-0.25478008	0.28827076	1007660202.64122	1007660202	657591105
32	4.3887644	-0.89966642	2.20849	6746.1661	70.261357	57.184424	0.060605356	-0.7659714	1013948332.505059	1013948332	496092558
34	5.237497	0.55988076	1.6699449	999.09229	22.537692	12.83556	-0.13152592	0.062857373	1003756541.807608	1003756541	802157760
35	1.1006737	-0.28999251	0.63016576	8715.1705	79.883679	57.958509	0.16284434	0.47933646	1025980390.806636	1025980390	806678534
36	4.2302001	-0.085892892	2.4086048	2405.8262	122.41397	92.87852	0.26097912	0.057368715	1009304989.627709	1009304989	638569713
37	2.2776211	0.41005862	2.6880959	13345.809	98.585352	73.355284	-0.03095788	0.081819911	1011696363.499725	1011696363	514156222
38	4.8631443	-1.0240126	0.80941699	10014.611	62.903228	49.586281	-0.16989489	0.081145366	1017779018.451802	1017779018	437262177
39	1.1574103	0.34509415	0.64506255	7544.0211	37.540952	28.098658	-0.52357248	0.81841602	1019774849.396072	1019774849	405488491
42	4.8049511	-0.54399614	0.38969339	10264.466	32.584172	20.65085	-0.022134305	0.52367401	1020896079.124159	1020896079	109940529
43	1.2338781	-1.3170104	0.64056563	4618.4314	40.609135	31.878799	0.1841975	-0.67569014	1029864431.074908	1029864431	62403440
